Title,Description,Periode,Urheber,Technik,Country,Region,City,Lat,Lon,Coord-Quality-Score,Fallback,Ext-Calls
"Locarno, Landschaft",Locarno TI. Landschaft mit stehendem Gewässer und kahlen Laubbäumen im Maggiadelta.,1890-1936,,,Switzerland,Cantone Ticino,Locarno,46.17086,8.79953,3,True,0
"Magadino, Landschaft",Magadino TI. Landschaft mit stehendem Gewässer in kahlem Laubgehölz; im Tessindelta.,1890-1936,,,Switzerland,Cantone Ticino,Magadino,46.14892,8.8561,3,True,0
"Schweiz, Landschaft [Lokalisierung unsicher]",Schweiz. Militär. Manöver: Schützenlinie einer Gefechtsübung an einer Halde,1890-1936,,,Switzerland,,,,,0,False,0
"Schweiz, Landschaft [Lokalisierung unsicher]",Schweiz. Militär. Eine Gruppe Guiden in Gefechtsstellung am Maschinengewehr,1890-1936,,,Switzerland,,,,,0,False,0
"Schweiz, Landschaft [Lokalisierung unsicher]","Schweiz. Militär. Manöver. Drei hohe Herren in Zivil, hoch zu Ross auf einem Wiesengelände; verfolgen den Verlauf einer Gefechtsübung (Bundesräte?)",1890-1936,,,Switzerland,,,,,0,False,0
"Schweiz, Landschaft [Lokalisierung unsicher]","Schweiz. Militär. Manöver. Wiesengelände, auf dem sich einige Geschütze (Kanonen, Haubitzen?) mit Pferdegespann und Soldaten bewegen",1890-1936,,,Switzerland,,,,,0,False,0
"Schweiz, Landschaft [Lokalisierung unsicher]","Schweiz. Militär. Manöver. Ein Geschütz in Stellung, Gruppe von Soldaten auf einem Wiesengelände",1890-1936,,,Switzerland,,,,,0,False,0
"Schweiz, Landschaft [Lokalisierung unsicher]","Schweiz. Militär. Manöver. Einige Reitpferde und Guiden am Rande eines Laubgehölzes, ausser Gefecht",1890-1936,,,Switzerland,,,,,0,False,0
"Schweiz, Landschaft [Lokalisierung unsicher]",Schweiz. Militär. Manöver. Artillerie-Fahrzeug und -pferde unterwegs auf einem Wiesengelände,1890-1936,,,Switzerland,,,,,0,False,0
"Schweiz, Landschaft [Lokalisierung unsicher]",Schweiz. Militär. Manöver. Die Pferde einer Guiden-Abteilung am Rande eines Laubgehölzes auf Wiesengelände (Marschhalt?),1890-1936,,,Switzerland,,,,,0,False,0
"Schweiz, Ortsteilansicht [Lokalisierung unsicher]",Schweiz. Militär. Manöver. Eine Kompanie Soldaten auf einem Bauernhof,1890-1936,,,Switzerland,,,,,0,False,0
"Schweiz, Landschaft [Lokalisierung unsicher]","Schweiz. Militär. Manöver. Weites Wiesengelände mit vielen Pferden, Soldaten, Zivilisten: Schlachtenbummlern",1890-1936,,,Switzerland,,,,,0,False,0
"Schweiz, Landschaft [Lokalisierung unsicher]",Schweiz. Militär. Manöver. Grosse Menschenmasse: Offiziere und Zivilisten durcheinander auf einer Wiesenhalde (bei Manöverkritik?),1890-1936,,,Switzerland,,,,,0,False,0
"Italia, Monte Spluga, Ortsteilansicht","Splügen GR. Landschaft, Siedlung. Häusergruppe vor einer Szenerie schneebedeckter, blendender Berge: Splügenpass",1920,,,Italy,,Monte Spluga,46.20011,9.55988,5,False,0
"Italia, Montespluga, Ortsteilansicht","Splügen GR. Landschaft, Siedlung, Dorfbild. Häuserreihe und Vorplatz, Strasse am Splügenberg, italienische Seite: Monte Spluga, beim italienischen Zollgebäude.",1920,,,Italy,Lombardia,Montespluga,46.20011,9.55988,5,False,0
"Splügenpass, Ortsteilansicht",Splügen GR. Landschaft im Tourengebiet von Splügen: italienisches Grenzwächterhaus auf Splügenberg/Splügenpass mit zwei bewaffneten Carabinieri,1920,,,Switzerland,,Splügen,46.5054,9.3304,5,False,0
Obere Surselva und Val Medel,"Blick vom Piz Murarun nach Westen Richtung Oberalppass, Dammagletscher und Finsteraarhorn. Unter der Mitte Val Medel; links: Piz Gannaretsch",1890-1936,,,Switzerland,,,46.63228,8.82877,5,False,0
"Schweiz, Landschaft [Lokalisierung unsicher]",Schweiz (?). Aufnahme 1890-1936.,1890-1936,,,Switzerland,,,,,0,False,0
