Title;Description;Breitengrad;Längengrad;City;01-Datei;Persiode
Vierwaldstättersee, Landschaft;Blick auf den Vierwaldstättersee (Urnersee), dahinter Bergpanorama;46.9854161;8.4988048;Vierwaldstättersee;lcmt-nabi-pctmp_ead_wehr_1539-B_pctmp.jpg;1906
Grindelwald, Ortsgesamtansicht;Blick auf Grindelwald hinab, gegen das Wetterhorn;46.6242733;8.0367462;Grindelwald;lcmt-nabi-pctmp_ead_wehr_15393-B_pctmp.jpg;1908
Italia, Varzo, Ortsgesamtansicht;Blick von einer anhöhe auf Varzo;46.2067143;8.2544931;Varzo;lcmt-nabi-pctmp_ead_wehr_15547-B_pctmp.jpg;circa 1905
Fiesch, Ortsgesamtansicht;Unten ist das Dorf zu sehen, dahinter der bewaldete Berghang, oben die Bergspitze;46.402946;8.1341501;Fiesch;lcmt-nabi-pctmp_ead_wehr_15548-B_pctmp.jpg;1905
Italia, Macugnaga, Pecetto, Ortsteilansicht;Teilansicht der Walsersiedlung Pecetto/Zertannen mit Kirche;45.0168826;7.7499491;Pecetto;lcmt-nabi-pctmp_ead_wehr_15957-B_pctmp.jpg;circa 1906
Staldenried, Zertannen, Bauernhaus, Gesamtaussenansicht;Ansicht eines Bauernhauses gegen Nordend in Zertannen;;;Zertannen;lcmt-nabi-pctmp_ead_wehr_15958-B_pctmp.jpg;circa 1906
Orselina, Ortsteilansicht;Teilansicht von Orselina mit Blick auf den Kirchturm;46.1778147;8.7956508;Orselina;lcmt-nabi-pctmp_ead_wehr_16002-B_pctmp.jpg;1906
Italia, Lago di Garda, Landschaft;Böschung oberhalb des Lago di Garda;45.6624314;10.6861569;Lago di Garda;lcmt-nabi-pctmp_ead_wehr_16023-B_pctmp.jpg;1906
Italia, Salò, Ortsteilansicht;Ufer des Lago di Gardo vor Salò, im Vordergrund drei Frauen;45.6056775;10.520069;Salò;lcmt-nabi-pctmp_ead_wehr_16026-B_pctmp.jpg;1906
Italia, Garda, Punta San Vigilio, Landschaft;Blick auf den Lago di Garda, im Vordergrund drei Olivenbäume, dahinter Zypressen;45.5727085;10.6719114;Punta San Vigilio;lcmt-nabi-pctmp_ead_wehr_16028-B_pctmp.jpg;1906
Italia, Isola di Garda, Villa Borghese, Gesamtaussenansicht;Villa Borghese auf der Isola di Garda;45.5928053;10.5906933;Isola di Garda;lcmt-nabi-pctmp_ead_wehr_16029-B_pctmp.jpg;1906
Vierwaldstättersee, Landschaft;Blick auf den Vierwaldstättersee mit einem Ruderboot und Ruderer darauf, im Hintergrund Urirotstock (Urirothstock);46.9854161;8.4988048;Vierwaldstättersee;lcmt-nabi-pctmp_ead_wehr_1603-B_pctmp.jpg;1906
Italia, San Martino della Battaglia, Kriegerdenkmal, Gesamtansicht;Blick auf das Kriegerdenkmal, daneben ein Zypressenhain;43.7130588;10.4044808;San Martino;lcmt-nabi-pctmp_ead_wehr_16032-B_pctmp.jpg;1906
Italia, Riva del Garda, Ortsteilansicht;Blick auf Riva del Garda, im Vordergrund ein Denkmal;45.8847708;10.8396942;Riva del Garda;lcmt-nabi-pctmp_ead_wehr_16033-B_pctmp.jpg;1906
Italia, Sirmione, Grotte di Catullo, Teilaussenansicht;Blick auf die Ruinen der römischen Villa Grotte di Catullo, auch Grotten des Catull genannt;45.4688494;10.6078237;Sirmione;lcmt-nabi-pctmp_ead_wehr_16034-B_pctmp.jpg;1906
Italia, Sirmione, Grotte di Catullo, Teilaussenansicht;Blick auf die Ruinen der römischen Villa Grotte di Catullo, auch Grotten des Catull genannt, im Hintergrund ist der Gardasee zu sehen;45.4688494;10.6078237;Sirmione;lcmt-nabi-pctmp_ead_wehr_16035-B_pctmp.jpg;1906
Italia, Isola di Garda, Gesamtansicht;Blick auf die Isola di Garda;45.5928053;10.5906933;Isola di Garda;lcmt-nabi-pctmp_ead_wehr_16036-B_pctmp.jpg;1906
Italia, Desenzano del Garda, Ortsteilansicht;Segelschiffe im Hafen von Desenzano del Garda;45.4694851;10.5389467;Desenzano del Garda;lcmt-nabi-pctmp_ead_wehr_16037-B_pctmp.jpg;1906
Italia, Riva del Garda, Ortsteilansicht;Hafen von Riva del Garda;45.8847708;10.8396942;Riva del Garda;lcmt-nabi-pctmp_ead_wehr_16038-B_pctmp.jpg;1906
Brunnen, Ortsgesamtansicht;"Blick auf Brunnen; im Vordergrund ist der Vierwaldstättersee mit dem Schiff Unterwalden zu sehen; im Hintergrund sind die Mythen zu sehen";46.9940439;8.6054085;Brunnen;lcmt-nabi-pctmp_ead_wehr_1604-B_pctmp.jpg;1906
Italia, Isola di Garda, Teilansicht;Blick auf die Isola di Garda vom Ufer des Gardasees aus;45.5928053;10.5906933;Isola di Garda;lcmt-nabi-pctmp_ead_wehr_16041-B_pctmp.jpg;1906
Italia, Riva del Garda, Ortsgesamtansicht;Blick auf Riva del Garda, im Vordergrund der Lago di Garda;45.8847708;10.8396942;Riva del Garda;lcmt-nabi-pctmp_ead_wehr_16042-B_pctmp.jpg;1906
Italia, Limone sul Garda, Ortsteilansicht;Blick vom Lago di Garda auf Limone sul Garda, im Vordergrund drei Boote;45.8141083;10.7915342;Limone sul Garda;lcmt-nabi-pctmp_ead_wehr_16043-B_pctmp.jpg;1906
Italia, Lago di Garda, Ponalestrasse, Teilansicht;Blick auf die Serpentinen der Ponalestrasse, im Hintergrund der Lago di Garda;45.6624314;10.6861569;Lago di Garda;lcmt-nabi-pctmp_ead_wehr_16044-B_pctmp.jpg;1906
Italia, Tremosine sul Garda, Ortsteilansicht;Blick auf Tremosine und den Lago di Garda;45.7710786;10.7607733;Tremosine sul Garda;lcmt-nabi-pctmp_ead_wehr_16045-B_pctmp.jpg;1906
Italia, Verona, Piazza delle Erbe, Ortsteilansicht;Marktstände auf der Piazza delle Erbe in Verona;45.4424977;10.9857377;Verona;lcmt-nabi-pctmp_ead_wehr_16046-B_pctmp.jpg;1906
Italia, Verona, Ponte Petra, Teilansicht;Ponte Pietra in Verona;45.4424977;10.9857377;Verona;lcmt-nabi-pctmp_ead_wehr_16047-B_pctmp.jpg;1906
Italia, Verona, Giardino Giusti, Ortsteilansicht;Ansicht eines Teils des Giardino Giusti in Verona;45.4424977;10.9857377;Verona;lcmt-nabi-pctmp_ead_wehr_16048-B_pctmp.jpg;1906
Brunnen, Hotel Waldstätterhof, Gesamtaussenansicht;Blick auf das Hotel Waldstätterhof am Ufer des Vierwaldstättersees;46.9940439;8.6054085;Brunnen;lcmt-nabi-pctmp_ead_wehr_1605-B_pctmp.jpg;1906
Italia, Sirmione, Landschaft;Blick auf die Halbinsel bei Sirmione vom Ufer des Gardasees aus gesehen, im Vordergrund sitzt ein Mann in einem Boot;45.4688494;10.6078237;Sirmione;lcmt-nabi-pctmp_ead_wehr_16052-B_pctmp.jpg;1906
Italia, Verona, Cattedrale di Santa Maria Assunta, Gesamtaussenansicht;Ansicht der Cattedrale di Santa Maria Assunta in Verona;45.4424977;10.9857377;Verona;lcmt-nabi-pctmp_ead_wehr_16053-B_pctmp.jpg;1906
Italia, Salò, Ortsteilansicht;Haus am Ufer des Lago di Garda in Salò;45.6056775;10.520069;Salò;lcmt-nabi-pctmp_ead_wehr_16054-B_pctmp.jpg;1906
Italia, Verona, L'arca di Mastino II, Gesamtansicht;Ansicht des Monuments 'L'arca di Mastino II' in Verona;45.4424977;10.9857377;Verona;lcmt-nabi-pctmp_ead_wehr_16055-B_pctmp.jpg;1906
Italia, San Martino della Battaglia, Landschaft;Ansicht eines Zypressenhains in San Martino della Battaglia;45.4386608;10.5979528;San Martino della Battaglia;lcmt-nabi-pctmp_ead_wehr_16057-B_pctmp.jpg;1906
Italia, Verona, Ortsteilansicht;Blick über die Dächer Veronas;45.4424977;10.9857377;Verona;lcmt-nabi-pctmp_ead_wehr_16058-B_pctmp.jpg;1906
Italia, Lazise, Castello Scaligero, Teilaussenansicht;Blick auf die mittelalterliche Burg Castello Scaligero, auch Scaligerburg genannt;45.5052005;10.7330245;Lazise;lcmt-nabi-pctmp_ead_wehr_16059-B_pctmp.jpg;1906
Italia, Sirmione, Chiesa di Sant'Anna della Rocca, Teilaussenansicht;Blick auf den Turm der Chiesa di Sant'Anna della Rocca;45.6056775;10.520069;Salò;lcmt-nabi-pctmp_ead_wehr_16060-B_pctmp.jpg;1906
Italia, Sirmione, Grotte di Catullo, Teilaussenansicht;Ansicht der Mauerreste der römischen Villa Grotte di Catullo, auch Grotten des Catull genannt;45.4688494;10.6078237;Sirmione;lcmt-nabi-pctmp_ead_wehr_16061-B_pctmp.jpg;1906
Italia, Sirmione, Chiesa di San Pietro in Mavino, Gesamtaussenansicht;Blick auf die Chiesa di San Pietro in Mavino;45.4688494;10.6078237;Sirmione;lcmt-nabi-pctmp_ead_wehr_16062-B_pctmp.jpg;1906
Italia, Gardone Riviera, Grand Hotel, Gesamtaussenansicht;Blick auf das Grand Hotel in Gardone vom Lago di Garda aus;45.6187853;10.5591005;Gardone Riviera;lcmt-nabi-pctmp_ead_wehr_16063-B_pctmp.jpg;1906
Italia, Maderno, Ortsteilansicht;Piazza San Marco in Maderno;46.0898035;11.1408947;Maderno;lcmt-nabi-pctmp_ead_wehr_16064-B_pctmp.jpg;1906
Italia, Malcesine, Ortsteilansicht;Blick von einer Anhöhe aus auf Malcesine und den Lago di Garda;45.7643442;10.8100598;Malcesine;lcmt-nabi-pctmp_ead_wehr_16065-B_pctmp.jpg;1906
Italia, Sirmione, Castello scaligero, Teilaussenansicht;Castello scaligero in Sirmione, im Vordergrund mehrere Boote;45.4688494;10.6078237;Sirmione;lcmt-nabi-pctmp_ead_wehr_16066-B_pctmp.jpg;1906
Italia, Sirmione, Ortsteilansicht;Blick von einer Anhöhe aus auf einen Teil von Sirmione und den Lago di Garda;45.4688494;10.6078237;Sirmione;lcmt-nabi-pctmp_ead_wehr_16067-B_pctmp.jpg;1906
Italia, Salò, Landschaft;Wiese bei Salò mit Fischernetzen ausgelegt;45.6056775;10.520069;Salò;lcmt-nabi-pctmp_ead_wehr_16068-B_pctmp.jpg;1906
Italia, Nago-Torbole, Torbole, Kirche Sant'Andrea, Teilaussenansicht;Blick den Hang hinauf zur Kirche Sant'Andrea;45.512581;10.115467;Torbole;lcmt-nabi-pctmp_ead_wehr_16069-B_pctmp.jpg;1906
Italia, Malcesine, Ortsteilansicht;Beladene Segelboote im Hafen von Malcesine;45.7643442;10.8100598;Malcesine;lcmt-nabi-pctmp_ead_wehr_16071-B_pctmp.jpg;1906
Italia, Arco, Landschaft;Blick auf einen Olivenhain;45.9181327;10.8860953;Arco;lcmt-nabi-pctmp_ead_wehr_16072-B_pctmp.jpg;1906
Italia, Garda, Punta San Vigilio, Landschaft;Blick entlang einer Strasse, die von Zypressen gesäumt ist, die am Ufer des Gardasees entlang führt;45.5727085;10.6719114;Punta San Vigilio;lcmt-nabi-pctmp_ead_wehr_16074-B_pctmp.jpg;1906
Italia, Isola di Garda, Villa Borghese, Gesamtaussenansicht;Villa Borghese auf der Isola di Garda;45.5928053;10.5906933;Isola di Garda;lcmt-nabi-pctmp_ead_wehr_16075-B_pctmp.jpg;1906
Italia, Gargnano, Ortsteilansicht;Ufer von Gargnano, rechts ein Dampfschiff auf dem Lago di Garda;45.688138;10.6635006;Gargnano;lcmt-nabi-pctmp_ead_wehr_16076-B_pctmp.jpg;1906
Italia, Gargnano, Ortsteilansicht;Blick auf Gargnano und den Lago di Garda von einer Anhöhe aus;45.688138;10.6635006;Gargnano;lcmt-nabi-pctmp_ead_wehr_16077-B_pctmp.jpg;1906
Italia, Riva del Garda, Ortsgesamtansicht;Blick auf Riva del Garda von einer Anhöhe aus;45.8847708;10.8396942;Riva del Garda;lcmt-nabi-pctmp_ead_wehr_16078-B_pctmp.jpg;1906
Italia, Lazise, Ortsteilansicht;Blick über den Gardasee hinweg auf Lazise vom Ufer aus gesehen;45.5052005;10.7330245;Lazise;lcmt-nabi-pctmp_ead_wehr_16079-B_pctmp.jpg;1906
Brunnen, Gotthardbahn, Teilansicht;"Blick auf die Gotthardbahn ; im Hintergrund ist der Frohnalpstock zu sehen";46.9940439;8.6054085;Brunnen;lcmt-nabi-pctmp_ead_wehr_1608-B_pctmp.jpg;1906
Italia, Malcesine, Ortsgesamtansicht;Blick auf Malcesine , im Vordergrund ein Hügel und der Lago di Garda;45.7643442;10.8100598;Malcesine;lcmt-nabi-pctmp_ead_wehr_16082-B_pctmp.jpg;1906
Italia, Salò, Ortsteilansicht;Ansicht des eines Stadttors in Salò;45.6056775;10.520069;Salò;lcmt-nabi-pctmp_ead_wehr_16084-B_pctmp.jpg;1906
Italia, Sirmione, Ortsteilansicht;Blick von einer Anhöhe über die Dächer von Sirmione und auf den Lago di Garda;45.4688494;10.6078237;Sirmione;lcmt-nabi-pctmp_ead_wehr_16085-B_pctmp.jpg;1906
Italia, Sirmione, Ortsteilansicht;Blick durch einen Torbogen auf Häsuder in Sirmione;45.4688494;10.6078237;Sirmione;lcmt-nabi-pctmp_ead_wehr_16086-B_pctmp.jpg;1906
Italia, San Martino della Battaglia, Torre monumentale, Teilaussenansicht;Weg mit Zypressen, im Hintergrund der Torre monumentale di San Martino della Battaglia;45.4386608;10.5979528;San Martino della Battaglia;lcmt-nabi-pctmp_ead_wehr_16087-B_pctmp.jpg;1906
Italia, Solferino, Knochenkapelle Ossario di Solferino, Teilinnenansicht;Blick auf den Altar und die Gebeine in der Knochenkapelle Ossario di Solferino;45.368581;10.566679;Solferino;lcmt-nabi-pctmp_ead_wehr_16088-B_pctmp.jpg;1906
Italia, Nago-Torbole, Torbole, Friedhof, Teilansicht;Blick auf den Friedhof in Torbole;45.512581;10.115467;Torbole;lcmt-nabi-pctmp_ead_wehr_16090-B_pctmp.jpg;1906
Italia, Nago-Torbole, Torbole, Landschaft;Blick auf einen Olivenhein gegen den Gardasee;45.512581;10.115467;Torbole;lcmt-nabi-pctmp_ead_wehr_16092-B_pctmp.jpg;1906
Italia, Malcesine, Castello Scaligero, Gesamtaussenansicht;Castello Scaligero in Malcesine vom Lago di Garda aus gesehen;45.7643442;10.8100598;Malcesine;lcmt-nabi-pctmp_ead_wehr_16093-B_pctmp.jpg;1906
Italia, Sirmione, Landschaft;Blick auf die Uferzone des Gardasees bei Sirmione, im Hintergrund sind Burgmauern zu sehen;45.4688494;10.6078237;Sirmione;lcmt-nabi-pctmp_ead_wehr_16094-B_pctmp.jpg;1906
Italia, Sirmione, Castello scaligero, Teilaussenansicht;Blick auf das Castello scaligero in Sirmione von einem Weg aus;45.4688494;10.6078237;Sirmione;lcmt-nabi-pctmp_ead_wehr_16097-B_pctmp.jpg;1906
Italia, Sirmione, Ortsteilansicht;Platz nahe der Chiesa di Sant'Anna della Rocca in Sirmione;45.4688494;10.6078237;Sirmione;lcmt-nabi-pctmp_ead_wehr_16099-B_pctmp.jpg;1906
Italia, Lago di Garda, Landschaft;Lago di Garda, im Hintergrund Garda;45.6624314;10.6861569;Lago di Garda;lcmt-nabi-pctmp_ead_wehr_16100-B_pctmp.jpg;1906
Italia, Maderno, Chiesa di Sant'Andrea, Gesamtaussenansicht;Ansicht der Chiesa di Sant'Andrea in Maderno;46.0898035;11.1408947;Maderno;lcmt-nabi-pctmp_ead_wehr_16102-B_pctmp.jpg;1906
Italia, Desenzano del Garda, Ortsteilansicht;Marktplatz in Desenzano del Garda;45.4694851;10.5389467;Desenzano del Garda;lcmt-nabi-pctmp_ead_wehr_16103-B_pctmp.jpg;1906
Italia, Lazise, Hafen, Teilansicht;Blick auf den Hafen von Lazise;45.5052005;10.7330245;Lazise;lcmt-nabi-pctmp_ead_wehr_16104-B_pctmp.jpg;1906
