Titel,Beschreibung,Breitengrad,Längengrad,Exakte Koordinaten,Adresse,Datei,Region,Periode,Beschreibung.1,Quelle,Urheber:in,Referenz,Title,Description,Periode,Urheber,Technik,Country,Region,City,Lat,Lon,Coord-Quality-Score,Fallback,Ext-Calls,Deviation_km,Map
"Österreich, Innsbruck, Hofkirche, Teilinnenansicht",Bronzefigur des König Arthur in der Hofkirche Innsbrucks,47.2654296,11.3927685,Nein,Innsbruck,lcmt-nabi-pctmp_ead_wehr_20413-B_crop_pctmp.jpg,,1911-05,,Schweizerische Nationalbibliothek,Artur Wehrli,https://commons.wikimedia.org/entity/M147754710,"Österreich, Innsbruck, Hofkirche, Teilinnenansicht",Bronzefigur des König Arthur in der Hofkirche Innsbrucks,1911:05,Artur Wehrli,,Austria,Tirol,Innsbruck,47.2682057,11.3952622,4,False,1,0.36,https://www.openstreetmap.org/?mlat=47.2682057&mlon=11.3952622&zoom=14
"Österreich, Innsbruck, Hofkirche, Teilinnenansicht",Bronzefigur des König Arthur in der Hofkirche Innsbrucks,47.2654296,11.3927685,Nein,Innsbruck,lcmt-nabi-pctmp_ead_wehr_20413-B_pctmp.jpg,,1911-05,,Schweizerische Nationalbibliothek,Artur Wehrli,https://commons.wikimedia.org/entity/M145062233,"Österreich, Innsbruck, Hofkirche, Teilinnenansicht",Bronzefigur des König Arthur in der Hofkirche Innsbrucks,1911:05,Artur Wehrli,,Austria,Tirol,Innsbruck,47.2682057,11.3952622,4,False,1,0.36,https://www.openstreetmap.org/?mlat=47.2682057&mlon=11.3952622&zoom=14
"Österreich, Innsbruck, Hofkirche, Teilinnenansicht",Bronzefigur des Theoderich des Grossen in der Hofkirche Innsbrucks,47.2654296,11.3927685,Nein,Innsbruck,lcmt-nabi-pctmp_ead_wehr_20414-B_pctmp.jpg,,1911-05,,Schweizerische Nationalbibliothek,Artur Wehrli,https://commons.wikimedia.org/entity/M145062165,"Österreich, Innsbruck, Hofkirche, Teilinnenansicht",Bronzefigur des Theoderich des Grossen in der Hofkirche Innsbrucks,1911:05,Artur Wehrli,,Austria,Tirol,Innsbruck,47.2682057,11.3952622,4,False,1,0.36,https://www.openstreetmap.org/?mlat=47.2682057&mlon=11.3952622&zoom=14
"Italia, Meran, Ortsteilansicht",Blick über einen Teil Merans bis in das Vinschgau,46.6713536,11.1646348,Nein,Meran,lcmt-nabi-pctmp_ead_wehr_20415-B_pctmp.jpg,,1911-05,,Schweizerische Nationalbibliothek,Artur Wehrli,https://commons.wikimedia.org/entity/M145062137,"Italia, Meran, Ortsteilansicht",Blick über einen Teil Merans bis in das Vinschgau,1911:05,Artur Wehrli,,Italy,Trentino-Alto Adige,Meran,46.66817,11.15953,3,True,0,0.53,https://www.openstreetmap.org/?mlat=46.66817&mlon=11.15953&zoom=14
"Italia, Meran, Ortsteilansicht",Blick über einen Teil Merans bis in das Vinschgau,46.6713536,11.1646348,Nein,Meran,lcmt-nabi-pctmp_ead_wehr_20416-B_pctmp.jpg,,1911-05,,Schweizerische Nationalbibliothek,Artur Wehrli,https://commons.wikimedia.org/entity/M145062115,"Italia, Meran, Ortsteilansicht",Blick über einen Teil Merans bis in das Vinschgau,1911:05,Artur Wehrli,,Italy,Trentino-Alto Adige,Meran,46.66817,11.15953,3,True,0,0.53,https://www.openstreetmap.org/?mlat=46.66817&mlon=11.15953&zoom=14
"Italia, Meran, Ortsgesamtansicht",Ansicht Merans und des Val Passiria,46.6713536,11.1646348,Nein,Meran,lcmt-nabi-pctmp_ead_wehr_20417-B_pctmp.jpg,,1911-05,,Schweizerische Nationalbibliothek,Artur Wehrli,https://commons.wikimedia.org/entity/M145062077,"Italia, Meran, Ortsgesamtansicht",Ansicht Merans und des Val Passiria,1911:05,Artur Wehrli,,Italy,Trentino-Alto Adige,Meran,46.66817,11.15953,3,True,0,0.53,https://www.openstreetmap.org/?mlat=46.66817&mlon=11.15953&zoom=14
"Italia, Meran, Ortsgesamtansicht","Ansicht Merans, im Hintergrund die Zielspietze und den Tschigat",46.6713536,11.1646348,Nein,Meran,lcmt-nabi-pctmp_ead_wehr_20418-B_pctmp.jpg,,1911-05,,Schweizerische Nationalbibliothek,Artur Wehrli,https://commons.wikimedia.org/entity/M145062037,"Italia, Meran, Ortsgesamtansicht","Ansicht Merans, im Hintergrund die Zielspietze und den Tschigat",1911:05,Artur Wehrli,,Italy,Trentino-Alto Adige,Meran,46.66817,11.15953,3,True,0,0.53,https://www.openstreetmap.org/?mlat=46.66817&mlon=11.15953&zoom=14
"Italia, Meran, Ortsgesamtansicht","Ansicht Merans, im Hintergrund die Zielspietze und der Tschigat",46.6713536,11.1646348,Nein,Meran,lcmt-nabi-pctmp_ead_wehr_20419-B_pctmp.jpg,,1911-05,,Schweizerische Nationalbibliothek,Artur Wehrli,https://commons.wikimedia.org/entity/M145062004,"Italia, Meran, Ortsgesamtansicht","Ansicht Merans, im Hintergrund die Zielspietze und der Tschigat",1911:05,Artur Wehrli,,Italy,Trentino-Alto Adige,Meran,46.66817,11.15953,3,True,0,0.53,https://www.openstreetmap.org/?mlat=46.66817&mlon=11.15953&zoom=14
"Italia, Meran, Ortsteilansicht",Blick auf Meran vom Meranerhof aus,46.6713536,11.1646348,Nein,Meran,lcmt-nabi-pctmp_ead_wehr_20420-B_pctmp.jpg,,1911-05,,Schweizerische Nationalbibliothek,Artur Wehrli,https://commons.wikimedia.org/entity/M145061954,"Italia, Meran, Ortsteilansicht",Blick auf Meran vom Meranerhof aus,1911:05,Artur Wehrli,,Italy,Trentino-Alto Adige,Meran,46.66964,11.15971,5,False,0,0.42,https://www.openstreetmap.org/?mlat=46.66964&mlon=11.15971&zoom=14
"Italia, Meran, Ortsteilansicht",Blick auf Meran vom Tappeinerweg aus,46.6713536,11.1646348,Nein,Meran,lcmt-nabi-pctmp_ead_wehr_20421-B_pctmp.jpg,,1911-05,,Schweizerische Nationalbibliothek,Artur Wehrli,https://commons.wikimedia.org/entity/M145061920,"Italia, Meran, Ortsteilansicht",Blick auf Meran vom Tappeinerweg aus,1911:05,Artur Wehrli,,Italy,Trentino-Alto Adige,Meran,46.6734275,11.1635195,4,False,1,0.25,https://www.openstreetmap.org/?mlat=46.6734275&mlon=11.1635195&zoom=14
"Italia, Meran, Ortsteilansicht",Blick auf Meran vom Tappeinerweg aus,46.6713536,11.1646348,Nein,Meran,lcmt-nabi-pctmp_ead_wehr_20422-B_pctmp.jpg,,1911-05,,Schweizerische Nationalbibliothek,Artur Wehrli,https://commons.wikimedia.org/entity/M145061891,"Italia, Meran, Ortsteilansicht",Blick auf Meran vom Tappeinerweg aus,1911:05,Artur Wehrli,,Italy,Trentino-Alto Adige,Meran,46.6734275,11.1635195,4,False,1,0.25,https://www.openstreetmap.org/?mlat=46.6734275&mlon=11.1635195&zoom=14
"Italia, Meran, Ortsteilansicht",Blick von der Gilfpromenade auf Meran,46.6713536,11.1646348,Nein,Meran,lcmt-nabi-pctmp_ead_wehr_20423-B_pctmp.jpg,,1911-05,,Schweizerische Nationalbibliothek,Artur Wehrli,https://commons.wikimedia.org/entity/M145061837,"Italia, Meran, Ortsteilansicht",Blick von der Gilfpromenade auf Meran,1911:05,Artur Wehrli,,Italy,Trentino-Alto Adige,Meran,46.6730951,11.171081,4,False,1,0.53,https://www.openstreetmap.org/?mlat=46.6730951&mlon=11.171081&zoom=14
"Italia, Meran, Ortsteilansicht",Blick entlang der Passer auf die Promenade,46.6713536,11.1646348,Nein,Meran,lcmt-nabi-pctmp_ead_wehr_20424-B_pctmp.jpg,,1911-05,,Schweizerische Nationalbibliothek,Artur Wehrli,https://commons.wikimedia.org/entity/M145061814,"Italia, Meran, Ortsteilansicht",Blick entlang der Passer auf die Promenade,1911:05,Artur Wehrli,,Italy,Trentino-Alto Adige,Meran,46.66605,11.14683,5,False,0,1.48,https://www.openstreetmap.org/?mlat=46.66605&mlon=11.14683&zoom=14
"Italia, Meran, Ortsteilansicht",Blick auf die ehemalige Gisela-Promenadem heute Kurpromenade,46.6713536,11.1646348,Nein,Meran,lcmt-nabi-pctmp_ead_wehr_20425-B_pctmp.jpg,,1911-05,,Schweizerische Nationalbibliothek,Artur Wehrli,https://commons.wikimedia.org/entity/M145061800,"Italia, Meran, Ortsteilansicht",Blick auf die ehemalige Gisela-Promenadem heute Kurpromenade,1911:05,Artur Wehrli,,Italy,Trentino-Alto Adige,Meran,46.66817,11.15953,3,True,0,0.53,https://www.openstreetmap.org/?mlat=46.66817&mlon=11.15953&zoom=14
"Italia, Meran, Ortsteilansicht","Ansicht der Römerbrücke, die über die Passer führt",46.6713536,11.1646348,Nein,Meran,lcmt-nabi-pctmp_ead_wehr_20426-B_pctmp.jpg,,1911-05,,Schweizerische Nationalbibliothek,Artur Wehrli,https://commons.wikimedia.org/entity/M145061750,"Italia, Meran, Ortsteilansicht","Ansicht der Römerbrücke, die über die Passer führt",1911:05,Artur Wehrli,,Italy,Trentino-Alto Adige,Meran,46.66817,11.15953,3,True,0,0.53,https://www.openstreetmap.org/?mlat=46.66817&mlon=11.15953&zoom=14
"Italia, Meran, Ortsgesamtansicht","Blick auf Meran, im Vordergrund ist das Schloss Tirol und die Brunnenburg zu sehen",46.6713536,11.1646348,Nein,Meran,lcmt-nabi-pctmp_ead_wehr_20427-B_pctmp.jpg,,1911-05,,Schweizerische Nationalbibliothek,Artur Wehrli,https://commons.wikimedia.org/entity/M145061721,"Italia, Meran, Ortsgesamtansicht","Blick auf Meran, im Vordergrund ist das Schloss Tirol und die Brunnenburg zu sehen",1911:05,Artur Wehrli,,Italy,Trentino-Alto Adige,Meran,46.69418,11.14477,5,False,0,2.96,https://www.openstreetmap.org/?mlat=46.69418&mlon=11.14477&zoom=14
"Italia, Tirolo, Schloss Tirol, Gesamtaussenansicht",Blick auf Schloss Tirol und die danebenliegenden Erdpyramiden,47.223193,11.5261028,Nein,Tirolo,lcmt-nabi-pctmp_ead_wehr_20428-B_pctmp.jpg,,1911-05,,Schweizerische Nationalbibliothek,Artur Wehrli,https://commons.wikimedia.org/entity/M145061693,"Italia, Tirolo, Schloss Tirol, Gesamtaussenansicht",Blick auf Schloss Tirol und die danebenliegenden Erdpyramiden,1911:05,Artur Wehrli,,Italy,Trentino-Alto Adige,Tirolo,46.69418,11.14477,5,False,0,65.56,https://www.openstreetmap.org/?mlat=46.69418&mlon=11.14477&zoom=14
"Italia, Tirolo, Schloss Tirol, Gesamtaussenansicht",Blick auf Schloss Tirol und die umliegende Landschaft,47.223193,11.5261028,Nein,Tirolo,lcmt-nabi-pctmp_ead_wehr_20429-B_pctmp.jpg,,1911-05,,Schweizerische Nationalbibliothek,Artur Wehrli,https://commons.wikimedia.org/entity/M145061649,"Italia, Tirolo, Schloss Tirol, Gesamtaussenansicht",Blick auf Schloss Tirol und die umliegende Landschaft,1911:05,Artur Wehrli,,Italy,Trentino-Alto Adige,Tirolo,46.69418,11.14477,5,False,0,65.56,https://www.openstreetmap.org/?mlat=46.69418&mlon=11.14477&zoom=14
"Göschenen, Ortsteilansicht","Blick auf Göschenen, in der Mitte Brücke die über die Reuss führt; im Hintergrund der Dammagletscher",46.6676488,8.588703,Nein,Göschenen,lcmt-nabi-pctmp_ead_wehr_2043-B_pctmp.jpg,Uri,1906,,Schweizerische Nationalbibliothek,Artur Wehrli,https://commons.wikimedia.org/entity/M144122604,"Göschenen, Ortsteilansicht","Blick auf Göschenen, in der Mitte Brücke die über die Reuss führt; im Hintergrund der Dammagletscher",1906,Artur Wehrli,,Switzerland,Kanton Uri,Göschenen,46.66816,8.58709,3,True,0,0.14,https://www.openstreetmap.org/?mlat=46.66816&mlon=8.58709&zoom=14
"Italia, Tirolo, Schloss Tirol, Gesamtaussenansicht",Ansicht des Schlosses Tirol,47.223193,11.5261028,Nein,Tirolo,lcmt-nabi-pctmp_ead_wehr_20431-B_pctmp.jpg,,1911-05,,Schweizerische Nationalbibliothek,Artur Wehrli,https://commons.wikimedia.org/entity/M145061528,"Italia, Tirolo, Schloss Tirol, Gesamtaussenansicht",Ansicht des Schlosses Tirol,1911:05,Artur Wehrli,,Italy,Trentino-Alto Adige,Tirolo,46.69418,11.14477,5,False,0,65.56,https://www.openstreetmap.org/?mlat=46.69418&mlon=11.14477&zoom=14
"Italia, Bozen, Batzenhäusl, Teilaussenansicht",Ansicht einer Strasse in Bozen mit dem Batzenhäusl,46.6559455,11.2302129,Nein,Bozen,lcmt-nabi-pctmp_ead_wehr_20432-B_pctmp.jpg,,1911-05,,Schweizerische Nationalbibliothek,Artur Wehrli,https://commons.wikimedia.org/entity/M145061499,"Italia, Bozen, Batzenhäusl, Teilaussenansicht",Ansicht einer Strasse in Bozen mit dem Batzenhäusl,1911:05,Artur Wehrli,,Italy,Trentino-Alto Adige,Bozen,46.5013603,11.3574364,4,False,1,19.75,https://www.openstreetmap.org/?mlat=46.5013603&mlon=11.3574364&zoom=14
"Genève, Lunapark, Teilansicht","Ansicht Weiher, mit Badehaus und Steg im Lunapark",46.2017559,6.1466014,Nein,Genève,lcmt-nabi-pctmp_ead_wehr_20433-B_pctmp.jpg,Genève,1911,,Schweizerische Nationalbibliothek,Jean Gaberell,https://commons.wikimedia.org/entity/M145061485,"Genève, Lunapark, Teilansicht","Ansicht Weiher, mit Badehaus und Steg im Lunapark",1911,Jean Gaberell,,Switzerland,Canton de Genève,Genève,46.20222,6.14569,3,True,0,0.09,https://www.openstreetmap.org/?mlat=46.20222&mlon=6.14569&zoom=14
"Furka, Hotel Furka, Gesamtaussenansicht","Links Schnee, rechts das Hotel, rundherum Geröll",11.7829891,13.083551,Nein,Furka,lcmt-nabi-pctmp_ead_wehr_2046-B_pctmp.jpg,Uri,circa 1906,,Schweizerische Nationalbibliothek,unknown photographer,https://commons.wikimedia.org/entity/M144122695,"Furka, Hotel Furka, Gesamtaussenansicht","Links Schnee, rechts das Hotel, rundherum Geröll",1906,,,Switzerland,Kanton Uri,Furka,46.5928093,8.4618121,4,False,1,3895.02,https://www.openstreetmap.org/?mlat=46.5928093&mlon=8.4618121&zoom=14
"Italia, Arco, Ortsteilansicht",Blick auf Arco und die Ruine des Castollo di Arco,45.9181327,10.8860953,Nein,Arco,lcmt-nabi-pctmp_ead_wehr_20461-B_pctmp.jpg,,1911-05,,Schweizerische Nationalbibliothek,Artur Wehrli,https://commons.wikimedia.org/entity/M145060248,"Italia, Arco, Ortsteilansicht",Blick auf Arco und die Ruine des Castollo di Arco,1911:05,Artur Wehrli,,Italy,Trentino-Alto Adige,Arco,45.91772,10.88672,3,True,0,0.07,https://www.openstreetmap.org/?mlat=45.91772&mlon=10.88672&zoom=14
"Italia, Arco, Ortsteilansicht","Blick auf Arco und den Monte Brione, im Vordergrund eine Bank",45.9181327,10.8860953,Nein,Arco,lcmt-nabi-pctmp_ead_wehr_20462-B_pctmp.jpg,,1911-05,,Schweizerische Nationalbibliothek,Artur Wehrli,https://commons.wikimedia.org/entity/M145060226,"Italia, Arco, Ortsteilansicht","Blick auf Arco und den Monte Brione, im Vordergrund eine Bank",1911:05,Artur Wehrli,,Italy,Trentino-Alto Adige,Arco,45.91772,10.88672,3,True,0,0.07,https://www.openstreetmap.org/?mlat=45.91772&mlon=10.88672&zoom=14
"Italia, Arco, Ortsteilansicht","Blick auf Arco, im Vordergrund Zypressen und Olivenbäume",45.9181327,10.8860953,Nein,Arco,lcmt-nabi-pctmp_ead_wehr_20463-B_pctmp.jpg,,1911-05,,Schweizerische Nationalbibliothek,Artur Wehrli,https://commons.wikimedia.org/entity/M145060202,"Italia, Arco, Ortsteilansicht","Blick auf Arco, im Vordergrund Zypressen und Olivenbäume",1911:05,Artur Wehrli,,Italy,Trentino-Alto Adige,Arco,45.91772,10.88672,3,True,0,0.07,https://www.openstreetmap.org/?mlat=45.91772&mlon=10.88672&zoom=14
"Italia, Arco, Monumento a Giovanni Segantinim, Gesamtansicht",Segantini-Denkmal in Arco,45.9181327,10.8860953,Nein,Arco,lcmt-nabi-pctmp_ead_wehr_20464-B_pctmp.jpg,,1911-05,,Schweizerische Nationalbibliothek,Artur Wehrli,https://commons.wikimedia.org/entity/M145060184,"Italia, Arco, Monumento a Giovanni Segantinim",Segantini-Denkmal in Arco,1911:05,Artur Wehrli,,Italy,Trentino-Alto Adige,Arco,45.91772,10.88672,3,True,0,0.07,https://www.openstreetmap.org/?mlat=45.91772&mlon=10.88672&zoom=14
"Italia, Riva del Garda, Ortsteilansicht",Blick auf Riva del Garda und den Lago di Garda,45.8847708,10.8396942,Nein,Riva del Garda,lcmt-nabi-pctmp_ead_wehr_20465-B_pctmp.jpg,,1911-05,,Schweizerische Nationalbibliothek,Artur Wehrli,https://commons.wikimedia.org/entity/M145060169,"Italia, Riva del Garda, Ortsteilansicht",Blick auf Riva del Garda und den Lago di Garda,1911:05,Artur Wehrli,,Italy,Trentino-Alto Adige,Riva del Garda,45.88577,10.84117,3,True,0,0.16,https://www.openstreetmap.org/?mlat=45.88577&mlon=10.84117&zoom=14
"Italia, Riva del Garda, Ortsteilansicht","Bootssteg am Lago di Garda in RIva del Garda, im Hintergrund einige Häuser",45.8847708,10.8396942,Nein,Riva del Garda,lcmt-nabi-pctmp_ead_wehr_20466-B_pctmp.jpg,,1911-05,,Schweizerische Nationalbibliothek,Artur Wehrli,https://commons.wikimedia.org/entity/M145060122,"Italia, Riva del Garda, Ortsteilansicht","Bootssteg am Lago di Garda in RIva del Garda, im Hintergrund einige Häuser",1911:05,Artur Wehrli,,Italy,Trentino-Alto Adige,Riva del Garda,45.88577,10.84117,3,True,0,0.16,https://www.openstreetmap.org/?mlat=45.88577&mlon=10.84117&zoom=14
"Val di Ledro, Landschaft",Ansicht der Strada del Ponale im Val di Ledro,45.8883709,10.7264207,Nein,Val di Ledro,lcmt-nabi-pctmp_ead_wehr_20467-B_pctmp.jpg,,1911-05,,Schweizerische Nationalbibliothek,Artur Wehrli,https://commons.wikimedia.org/entity/M145060087,"Val di Ledro, Landschaft",Ansicht der Strada del Ponale im Val di Ledro,1911:05,Artur Wehrli,,Italy,Trentino-Alto Adige,Val di Ledro,45.88577,10.73373,3,True,0,0.64,https://www.openstreetmap.org/?mlat=45.88577&mlon=10.73373&zoom=14
"Gargnano, Ortsteilansicht",Friedhof von Gargnano,45.688138,10.6635006,Nein,Gargnano,lcmt-nabi-pctmp_ead_wehr_20468-B_pctmp.jpg,,1911-05,,Schweizerische Nationalbibliothek,Artur Wehrli,https://commons.wikimedia.org/entity/M145060069,"Gargnano, Ortsteilansicht",Friedhof von Gargnano,1911:05,Artur Wehrli,,Italy,Lombardia,Gargnano,45.68586,10.65869,3,True,0,0.45,https://www.openstreetmap.org/?mlat=45.68586&mlon=10.65869&zoom=14
"Italia, Maderno, Ortsteilansicht",Piazza San Marco in Maderno,46.0898035,11.1408947,Nein,Maderno,lcmt-nabi-pctmp_ead_wehr_20469-B_pctmp.jpg,,1911-05,,Schweizerische Nationalbibliothek,Artur Wehrli,https://commons.wikimedia.org/entity/M145060047,"Italia, Maderno, Piazza San Marco",Piazza San Marco in Maderno,1911:05,Artur Wehrli,,Italy,Lombardia,Maderno,45.6351736,10.5996464,4,False,1,65.67,https://www.openstreetmap.org/?mlat=45.6351736&mlon=10.5996464&zoom=14
"Italia, Maderno, Monumento Zanardelli, Gesamtansicht","Blick auf das Monumento Zanardelli, im Hintergrund Häuser",46.0898035,11.1408947,Nein,Maderno,lcmt-nabi-pctmp_ead_wehr_20470-B_pctmp.jpg,,1911-05,,Schweizerische Nationalbibliothek,Artur Wehrli,https://commons.wikimedia.org/entity/M145060001,"Italia, Maderno, Monumento Zanardelli","Blick auf das Monumento Zanardelli, im Hintergrund Häuser",1911:05,Artur Wehrli,,Italy,Lombardia,Maderno,45.63333,10.58333,3,True,0,66.64,https://www.openstreetmap.org/?mlat=45.63333&mlon=10.58333&zoom=14
"Italia, Maderno, Monumento Zanardelli, Gesamtansicht",Blick auf das Monumento Zanardelli,46.0898035,11.1408947,Nein,Maderno,lcmt-nabi-pctmp_ead_wehr_20470a-B_pctmp.jpg,,1911-05,,Schweizerische Nationalbibliothek,Artur Wehrli,https://commons.wikimedia.org/entity/M145060027,"Italia, Maderno, Monumento Zanardelli",Blick auf das Monumento Zanardelli,1911:05,Artur Wehrli,,Italy,Lombardia,Maderno,45.63333,10.58333,3,True,0,66.64,https://www.openstreetmap.org/?mlat=45.63333&mlon=10.58333&zoom=14
"Italia, Toscolano-Maderno, Gaino, Landschaft","Feldweg nach Gaino, im Hintergrund die Chiesa di San Michele Arcangelo",45.6543526,10.6142744,Nein,Gaino,lcmt-nabi-pctmp_ead_wehr_20471-B_pctmp.jpg,,1911-05,,Schweizerische Nationalbibliothek,Artur Wehrli,https://commons.wikimedia.org/entity/M145059975,"Italia, Toscolano-Maderno, Gaino, Landschaft","Feldweg nach Gaino, im Hintergrund die Chiesa di San Michele Arcangelo",1911:05,Artur Wehrli,,Italy,Lombardia,Gaino,45.65449,10.61382,3,True,0,0.04,https://www.openstreetmap.org/?mlat=45.65449&mlon=10.61382&zoom=14
"Italia, Toscolano-Maderno, Gaino, Landschaft","Feldweg nach Gaino, im Hintergrund der Lago di Garda",45.6345707,10.609815,Nein,Toscolano-Maderno,lcmt-nabi-pctmp_ead_wehr_20472-B_pctmp.jpg,,1911-05,,Schweizerische Nationalbibliothek,Artur Wehrli,https://commons.wikimedia.org/entity/M145059947,"Italia, Toscolano-Maderno, Gaino, Landschaft","Feldweg nach Gaino, im Hintergrund der Lago di Garda",1911:05,Artur Wehrli,,Italy,Lombardia,Toscolano-Maderno,45.63449,10.60838,3,True,0,0.11,https://www.openstreetmap.org/?mlat=45.63449&mlon=10.60838&zoom=14
"Italia, Toscolano-Maderno, Gaino, Ortsteilansicht","Zypressen an einem Weg in Gaino, rechts eine Häuserzeile",45.6345707,10.609815,Nein,Toscolano-Maderno,lcmt-nabi-pctmp_ead_wehr_20473-B_pctmp.jpg,,1911-05,,Schweizerische Nationalbibliothek,Artur Wehrli,https://commons.wikimedia.org/entity/M145059893,"Italia, Toscolano-Maderno, Gaino, Ortsteilansicht","Zypressen an einem Weg in Gaino, rechts eine Häuserzeile",1911:05,Artur Wehrli,,Italy,Lombardia,Toscolano-Maderno,45.63449,10.60838,3,True,0,0.11,https://www.openstreetmap.org/?mlat=45.63449&mlon=10.60838&zoom=14
"Fasano, Ortsteilansicht",Blick von einer Anhöhe auf Fasano und den Lago di Garda,40.834432,17.358399,Nein,Fasano,lcmt-nabi-pctmp_ead_wehr_20474-B_pctmp.jpg,,1911-05,,Schweizerische Nationalbibliothek,Artur Wehrli,https://commons.wikimedia.org/entity/M145059838,"Fasano, Ortsteilansicht",Blick von einer Anhöhe auf Fasano und den Lago di Garda,1911:05,Artur Wehrli,,Italy,Lombardia,Fasano,40.83443,17.3584,3,True,0,0.0,https://www.openstreetmap.org/?mlat=40.83443&mlon=17.3584&zoom=14
"Italia, Gardone, Ortsgesamtansicht","Blick auf Gardone und den Lago di Garda, im Hintergrund der Monte Baldo, im Vordergrund eine Wiese",45.6187853,10.5591005,Nein,Gardone,lcmt-nabi-pctmp_ead_wehr_20475-B_pctmp.jpg,,1911-05,,Schweizerische Nationalbibliothek,Artur Wehrli,https://commons.wikimedia.org/entity/M145059817,"Italia, Gardone, Ortsgesamtansicht","Blick auf Gardone und den Lago di Garda, im Hintergrund der Monte Baldo, im Vordergrund eine Wiese",1911:05,Artur Wehrli,,Italy,Lombardia,Gardone,,,0,False,0,,
"Gardone, Ortsgesamtansicht","Blick auf Gardone und den Lago di Garda, im Hintergrund der Monte Baldo, im Vordergrund Zypressen",45.6187853,10.5591005,Nein,Gardone,lcmt-nabi-pctmp_ead_wehr_20476-B_pctmp.jpg,,1911-05,,Schweizerische Nationalbibliothek,Artur Wehrli,https://commons.wikimedia.org/entity/M145059783,"Gardone, Ortsgesamtansicht","Blick auf Gardone und den Lago di Garda, im Hintergrund der Monte Baldo, im Vordergrund Zypressen",1911:05,Artur Wehrli,,Italy,Lombardia,Gardone,,,0,False,0,,
"Italia, Gardone, Ortsteilansicht",Blick vom Ufer des Lago di Garda auf Gardone,45.6187853,10.5591005,Nein,Gardone,lcmt-nabi-pctmp_ead_wehr_20477-B_pctmp.jpg,,1911-05,,Schweizerische Nationalbibliothek,Artur Wehrli,https://commons.wikimedia.org/entity/M145059739,"Italia, Gardone, Ortsteilansicht",Blick vom Ufer des Lago di Garda auf Gardone,1911,Artur Wehrli,,Italy,Lombardia,Gardone,,,0,False,0,,
"Italia, Gardone, Ortsteilansicht",Blick vom Lago di Garda auf Gardone,45.6187853,10.5591005,Nein,Gardone,lcmt-nabi-pctmp_ead_wehr_20478-B_pctmp.jpg,,1911-05,,Schweizerische Nationalbibliothek,Artur Wehrli,https://commons.wikimedia.org/entity/M145059689,"Italia, Gardone, Ortsteilansicht",Blick vom Lago di Garda auf Gardone,1911,Artur Wehrli,,Italy,Lombardia,Gardone,,,0,False,0,,
"Italia, Gardone Riviera, Grand Hotel, Gesamtaussenansicht",Blick auf das Grand Hotel in Gardone vom Lago di Garda aus,45.6187853,10.5591005,Nein,Gardone-Riviera,lcmt-nabi-pctmp_ead_wehr_20479-B_pctmp.jpg,,1911-05,,Schweizerische Nationalbibliothek,Artur Wehrli,https://commons.wikimedia.org/entity/M145059659,"Italia, Gardone Riviera, Grand Hotel",Blick auf das Grand Hotel in Gardone vom Lago di Garda aus,1911,Artur Wehrli,,Italy,Lombardia,Gardone-Riviera,45.434,10.9896,5,False,0,39.33,https://www.openstreetmap.org/?mlat=45.434&mlon=10.9896&zoom=14
"Furka, Blick gegen Gotthard, Teilaussenansicht","Unten das Hotel Furkablick, dahinter der Gotthard mit einigen Schneefelder",11.7829891,13.083551,Nein,Furka,lcmt-nabi-pctmp_ead_wehr_2048-B_pctmp.jpg,Uri,circa 1906,,Schweizerische Nationalbibliothek,unknown photographer,https://commons.wikimedia.org/entity/M144122811,"Furka, Blick gegen Gotthard","Unten das Hotel Furkablick, dahinter der Gotthard mit einigen Schneefelder",1906,,,Switzerland,Kanton Uri,Furka,46.5762416,8.4217321,4,False,1,3893.62,https://www.openstreetmap.org/?mlat=46.5762416&mlon=8.4217321&zoom=14
"Italia, Salò, Ortsgesamtansicht","Blick auf Salò und den Lago di Garda, im Vordergrund eine Wiese",45.6056775,10.520069,Nein,Salò,lcmt-nabi-pctmp_ead_wehr_20481-B_pctmp.jpg,,1911-05,,Schweizerische Nationalbibliothek,Artur Wehrli,https://commons.wikimedia.org/entity/M145059594,"Italia, Salò, Ortsgesamtansicht","Blick auf Salò und den Lago di Garda, im Vordergrund eine Wiese",1911,Artur Wehrli,,Italy,Lombardia,Salò,45.60685,10.5205,3,True,0,0.13,https://www.openstreetmap.org/?mlat=45.60685&mlon=10.5205&zoom=14
"Italia, Salò, Ortsteilansicht",Häuserreihe und Promenade entlang des Ufers des Lago di Garda in Salò,45.6056775,10.520069,Nein,Salò,lcmt-nabi-pctmp_ead_wehr_20482-B_pctmp.jpg,,1911-05,,Schweizerische Nationalbibliothek,Artur Wehrli,https://commons.wikimedia.org/entity/M145059577,"Italia, Salò, Ortsteilansicht",Häuserreihe und Promenade entlang des Ufers des Lago di Garda in Salò,1911,Artur Wehrli,,Italy,Lombardia,Salò,45.60685,10.5205,3,True,0,0.13,https://www.openstreetmap.org/?mlat=45.60685&mlon=10.5205&zoom=14
