City;Breitengrad;Längengrad;Name;Beschreibung;firstBreitengrad;firstLängengrad;Exakte Koordinaten;Adresse;Datei;Periode;Quelle;Urheber:in;Referenz;;;
Vaduz;47.13961;9.52434;Fürstentum Liechtenstein, Vaduz, Schloss Vaduz, Teilaussenansicht;Vaduz FL. Das Schloss. Vorwerk, Zugang: zwei kurz nacheinander folgende offene Rundbogentore als Einfahrt;47.1392862;9.5227962;Nein;Vaduz;lcmt-nabi-pctmp_ead_zing_13195_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M163027500;;;
Vaduz;47.13961;9.52434;Fürstentum Liechtenstein, Vaduz, Ortsteilansicht;Vaduz FL. Das Schloss. Hofinneres: die nördlichen Winkel des Hofes und Bauteile;47.1392862;9.5227962;Nein;Vaduz;lcmt-nabi-pctmp_ead_zing_13196_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M163027524;;;
Vaduz;47.13961;9.52434;Fürstentum Liechtenstein, Vaduz, Schloss Vaduz, Teilaussenansicht;Vaduz FL. Das Schloss. Der Zugang: Blick von aussen durch zwei kurz nacheinander liegende Rundbogentore in den äussern Schlosshof;47.1392862;9.5227962;Nein;Vaduz;lcmt-nabi-pctmp_ead_zing_13197_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M163027544;;;
Vaduz;47.13961;9.52434;Fürstentum Liechtenstein, Vaduz, Ortsteilansicht;Vaduz FL. Das Schloss. Äussern und Vorwerk, Zufahrt zum innern Schlosstor, westliche Fassade Rundbogentore und Anbau;47.1392862;9.5227962;Nein;Vaduz;lcmt-nabi-pctmp_ead_zing_13198_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M163027561;;;
;;;Schweiz, Landschaft [Lokalisierung unsicher];"Schweiz. Landschaft. Der Talfluss mit Sperren und Wasserfällen; Blick taleinwärts";;;Nein;;lcmt-nabi-pctmp_ead_zing_13229_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M163028323;;;
;;;Schweiz, Landschaft [Lokalisierung unsicher];"Schweiz. Landschaft. Der Talfluss mit gemauerten Sperren und Verbauungen; Blick taleinwärts";;;Nein;;lcmt-nabi-pctmp_ead_zing_13230_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M163028357;;;
;;;Schweiz, Teilaussenansicht eines Hauses [Lokalisierung unsicher];Schweiz. Landschaftsmotiv mit Bauernhaus im lnnerschweizer Stil (mit Klebedächern), von Wiesland, Garten und Obstbäumen umgeben;;;Nein;;lcmt-nabi-pctmp_ead_zing_13299_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M163030195;;;
Donaueschingen;47.95514;8.49707;Donaueschingeng, Ortsteilansicht;"Donaueschingen, Deutschland. Landschaft, Stadtbild. Flüsschen (die Brigach) mit architektonischer Steinbrücke (Leopoldsbrücke), dahinter eine Kirche mit zwei Türmen; an den Flussufern viel Baum- und Buschvegetation";47.9534194;8.4959257;Nein;Donaueschingen;lcmt-nabi-pctmp_ead_zing_13347_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M163032084;;;
Donaueschingen;48.0955138;8.1548547;Donaueschingen, Donauquelle, Gesamtansicht;Donaueschingen, Deutschland. Landschaft, Vegetation, Architektur. Gewässer, an dessen Ufer vor einem Parkbäume und zwischen Büschen sich ein architektonisches Monument in Form eines Tempelchens erhebt, unter dem hervor eine Quelle quillt. Am Architrav die lnschrift: 'Danuvii caput exornavit' (Ein Denkmal gesetzt vom letzten deutschen Kaiser zum Gedenken an sich selber! 1900);47.9534194;8.4959257;Nein;Donaueschingen;lcmt-nabi-pctmp_ead_zing_13348_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M163032147;;;
Konstanz;47.66033;9.17582;Konstanz, Ortsteilansicht;Konstanz, Deutschland. Flusslandschaft, Stadtbild;47.659216;9.1750718;Nein;Konstanz;lcmt-nabi-pctmp_ead_zing_13437_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M163051808;;;
;46.9819;8.48;Schweiz, Vierwaldstättersee, Stanserhorn und Bürgenstock;Vierwaldstättersee, Blick von Merlischachen (SZ) nach Südsüdwesten. Links (von vorne nach hinten): Landspitze von Hertenstein, Bürgenstock, Stanserhorn;;;Nein;;lcmt-nabi-pctmp_ead_zing_13439_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M163051873;;;
;;;Schweiz, Kirche, Teilaussenansicht [Lokalisierung unsicher];"Schweiz. Kirche. Teil-Aussenansicht. Kirchenäusseres mit Eingangsvorhalle seitlich von rechts gesehen; links hinten ein Turm-Anbau; Friedhofpartie, Weg. Aufnahme 1890-1936.";;;Nein;;lcmt-nabi-pctmp_ead_zing_13440_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M163051907;;;
;;;Schweiz, Weibliche Person [Lokalisierung unsicher];Schweiz. Landschaft. Strassenkreuzung mit Baum in der Mitte, um den herum, auf einer Ringbank, eine Anzahl alter Leute sitzen (lnsassen eines Altersheimes?), dahinter ansteigenes Wiesengelände. Aufnahme 1890-1936.;;;Nein;;lcmt-nabi-pctmp_ead_zing_13442_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M163051975;;;
;;;Schweiz, Gebäude, Gesamtaussenansicht [Lokalisierung unsicher];Schweiz. Landschaft. Freier Platz auf einer Anhöhe. lm Mittelgrund ein Restaurationsgebäude mit Anbau und ein Schopf. Aufnahme 1890-1936.;;;Nein;;lcmt-nabi-pctmp_ead_zing_13443_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M163052050;;;
;;;Schweiz, Ortsteilansicht eines Dorfes [Lokalisierung unsicher];"Schweiz. Dorfbild. Motiv mit dem Dorfbach mit Wasserstand; Blick vom rechten Ufer hinüber nach der Kirche und deren Nachbarhäusern";;;Nein;;lcmt-nabi-pctmp_ead_zing_13445_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M163052300;;;
;;;Schweiz, Landschaft [Lokalisierung unsicher];Schweiz. Landschaft. Mondnacht über dem See;;;Nein;;lcmt-nabi-pctmp_ead_zing_13446_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M163052357;;;
;;;Schweiz, Landschaft [Lokalisierung unsicher];"Schweiz. Landschaft mit Weiher. Am Ufer Laubbäume und Schilfzone; dahinter Wiesengelände ansteigend zu einer bewaldeten Anhöhe";;;Nein;;lcmt-nabi-pctmp_ead_zing_13447_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M163052383;;;
;;;Schweiz, Landschaft [Lokalisierung unsicher];"Schweiz. Seelandschaft. Blick vom Ufer aus über den See hinweg; Aufnahme im Moment einer totalen Sonnenfinsternis? Eigenartiger Lichteffekt";;;Nein;;lcmt-nabi-pctmp_ead_zing_13448_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M163052423;;;
