Title,Description,Periode,Urheber,Technik,Country,Region,City,Lat,Lon,Coord-Quality-Score,Fallback,Ext-Calls
"Italia, Gargnano, Ortsteilansicht",Blick auf Gargnano und den Lago di Garda von einer Anhöhe aus,1906,,,Italy,Lombardia,Gargnano,45.68586,10.65869,3,True,0
"Italia, Riva del Garda, Ortsgesamtansicht",Blick auf Riva del Garda von einer Anhöhe aus,1906,,,Italy,Trentino-Alto Adige,Riva del Garda,45.88577,10.84117,3,True,0
"Italia, Lazise, Ortsteilansicht",Blick über den Gardasee hinweg auf Lazise vom Ufer aus gesehen,1906,,,Italy,Veneto,Lazise,45.50499,10.73923,3,True,0
"Brunnen, Gotthardbahn, Teilansicht",Blick auf die Gotthardbahn ; im Hintergrund ist der Frohnalpstock zu sehen,1906,,,Switzerland,Kanton Schwyz,Brunnen,46.9936,8.60538,3,True,0
"Italia, Malcesine, Ortsgesamtansicht","Blick auf Malcesine , im Vordergrund ein Hügel und der Lago di Garda",1906,,,Italy,Veneto,Malcesine,45.7614,10.80863,3,True,0
"Italia, Salò, Ortsteilansicht",Ansicht des eines Stadttors in Salò,1906,,,Italy,Lombardia,Salò,45.60685,10.5205,3,True,0
"Italia, Sirmione, Ortsteilansicht",Blick von einer Anhöhe über die Dächer von Sirmione und auf den Lago di Garda,1906,,,Italy,Lombardia,Sirmione,45.49744,10.60507,3,True,0
"Italia, Sirmione, Ortsteilansicht",Blick durch einen Torbogen auf Häsuder in Sirmione,1906,,,Italy,Lombardia,Sirmione,45.49744,10.60507,3,True,0
"Italia, San Martino della Battaglia, Torre monumentale","Weg mit Zypressen, im Hintergrund der Torre monumentale di San Martino della Battaglia",1906,,,Italy,Lombardia,San Martino della Battaglia,45.43832,10.60053,3,True,0
"Italia, Solferino, Ossario di Solferino",Blick auf den Altar und die Gebeine in der Knochenkapelle Ossario di Solferino,1906,,,Italy,Lombardia,Solferino,45.3740879,10.5689763,4,False,1
"Italia, Nago-Torbole, Torbole, Friedhof",Blick auf den Friedhof in Torbole,1906,,,Italy,Trentino-Alto Adige,Torbole,45.5097773,10.1062933,4,False,1
"Italia, Nago-Torbole, Torbole, Landschaft",Blick auf einen Olivenhein gegen den Gardasee,1906,,,Italy,Trentino-Alto Adige,Torbole,45.86951,10.87561,3,True,0
"Italia, Malcesine, Castello Scaligero",Castello Scaligero in Malcesine vom Lago di Garda aus gesehen,1906,,,Italy,Veneto,Malcesine,45.7663,10.80879,5,False,0
"Italia, Sirmione, Landschaft","Blick auf die Uferzone des Gardasees bei Sirmione, im Hintergrund sind Burgmauern zu sehen",1906,,,Italy,Lombardia,Sirmione,45.49744,10.60507,3,True,0
"Italia, Sirmione, Castello scaligero",Blick auf das Castello scaligero in Sirmione von einem Weg aus,1906,,,Italy,Lombardia,Sirmione,45.49218,10.60821,5,False,0
"Italia, Sirmione, Ortsteilansicht",Platz nahe der Chiesa di Sant'Anna della Rocca in Sirmione,1906,,,Italy,Lombardia,Sirmione,45.49744,10.60507,3,True,0
"Italia, Lago di Garda, Landschaft","Lago di Garda, im Hintergrund Garda",1906,,,Italy,,Lago di Garda,45.66667,10.68333,5,False,0
"Italia, Maderno, Chiesa di Sant'Andrea",Ansicht der Chiesa di Sant'Andrea in Maderno,1906,,,Italy,Trentino-Alto Adige,Maderno,45.6358911,10.5996008,4,False,1
"Italia, Desenzano del Garda, Ortsteilansicht",Marktplatz in Desenzano del Garda,1906,,,Italy,Lombardia,Desenzano del Garda,45.47127,10.53559,3,True,0
"Italia, Lazise, Hafen, Teilansicht",Blick auf den Hafen von Lazise,1906,,,Italy,Veneto,Lazise,45.50499,10.73923,3,True,0
"Italia, Malcesine, Ortsteilansicht",Blick von einer Anhöhe aus auf Malcesine und den Lago di Garda,1906,,,Italy,Veneto,Malcesine,45.7614,10.80863,3,True,0
"Italia, Verona, Basilica di Santa Anastasia","Portal der Basilica di Santa Anastasia in Verona, im Vordergrund das Monumento a Paolo Veronese",1906,,,Italy,Veneto,Verona,45.44534,11.00031,5,False,0
"Italia, Verona, Piazza dei Signori",Ansicht der Piauua dei Signori in Verona,1906,,,Italy,Veneto,Verona,45.44348,10.99808,5,False,0
"Italia, Lazise, Castello Scaligero",Blick auf die mittelalterliche Burg Castello Scaligero,1906,,,Italy,Veneto,Lazise,45.49218,10.60821,5,False,0
"Italia, Gardone Riviera, Chiesa di San Michele","Blick auf die Chiesa di San Michele, im Vordergrund ein Hund auf einer Wiese sitzend",1906,,,Italy,Lombardia,Gardone Riviera,45.5983,13.7417,5,False,0
"Italia, Gargnano, Ortsgesamtansicht",Ansicht von Gargnano am Lago di Garda,1906,,,Italy,Lombardia,Gargnano,45.68586,10.65869,3,True,0
"Italia, Nago-Torbole, Torbole, Ortsteilansicht",Ansicht einiger Häuser von Torbole,1906,,,Italy,Trentino-Alto Adige,Torbole,45.86951,10.87561,3,True,0
"Italia, Desenzano del Garda, Leuchtturm",Blick auf den Leuchtturm gegen den Gardasee,1906,,,Italy,Lombardia,Desenzano del Garda,45.47127,10.53559,3,True,0
"Italia, Gardone Riviera, Ortsgesamtansicht",Blick auf Gardone Riviera von einer Anhöhe aus,1906,,,Italy,Lombardia,Gardone Riviera,45.62396,10.56682,3,True,0
"Italia, Gardone Riviera, Ortsteilansicht","Blick auf Gardone Riviera und den Gardasee von einer Anhöhe aus, am linken Bildrand sitzt ein Mann auf einer Bank, dahinter steht ein Baum",1906,,,Italy,Lombardia,Gardone Riviera,45.62396,10.56682,3,True,0
"Italia, Nago-Torbole, Torbole, Uferpromenade",Ansicht der Uferpromenade von Torbole,1906,,,Italy,Trentino-Alto Adige,Torbole,45.86951,10.87561,3,True,0
"Italia, Gardone Riviera, Ortsteilansicht",Blick auf Gardone Riviera vom Ufer des Lago di Garda aus,1906,,,Italy,Lombardia,Gardone Riviera,45.62396,10.56682,3,True,0
"Italia, Gardone Riviera, Ortsteilansicht",Blick auf einen Teil von Gardone Riviera und des Lago di Garda von einer Anhöhe aus; im Vordergrund Baumwipfel,1906,,,Italy,Lombardia,Gardone Riviera,45.62396,10.56682,3,True,0
"Italia, Salò, Ortsteilansicht",Strasse in Salò,1906,,,Italy,Lombardia,Salò,45.60685,10.5205,3,True,0
"Italia, Garda, Punta San Vigilio, Landschaft","Blick entlang einer Strasse, die von Zypressen gesäumt ist",1906,,,Italy,,Punta San Vigilio,45.5727085,10.6719114,4,False,1
"Italia, Sirmione, Ortsteilansicht",Blick auf Sirmione vom Lago di Garda aus,1906,,,Italy,Lombardia,Sirmione,45.49744,10.60507,3,True,0
"Italia, Desenzano del Garda, Ortsteilansicht","Blick auf Desenzano del Garda, im Vordergrund ein Dampfschiff auf dem Lago di Garda",1906,,,Italy,Lombardia,Desenzano del Garda,45.47127,10.53559,3,True,0
"Italia, Lago di Garda, Teilansicht","Blick auf den Gardasee, am Ufer befindet sich eine Gruppe von Frauen, einige von ihnen sind am Waschen, im Vordergrund ist ein unbemanntes Ruderboot zu sehen",1906,,,Italy,,Lago di Garda,45.6624314,10.6861569,2,True,1
"Italia, Gardone Riviera, Grand Hotel",Ansicht des Grand Hotel in Gardone vom Lago di Garda aus,1906,,,Italy,Lombardia,Gardone Riviera,45.434,10.9896,5,False,0
"Italia, Arco, Castello di Arco",Blick vom Park auf die Ruine des Castello di Arco,1906,,,Italy,Trentino-Alto Adige,Arco,45.9223221,10.8883004,4,False,1
"Italia, Gardone Riviera, Morgnaga",Ansicht von Morgnaga,1906,,,Italy,Lombardia,Gardone Riviera,45.62396,10.56682,3,True,0
"Italia, Tremosine sul Garda, Ortsteilansicht",Blick über einige Dächer von Tremosine,1906,,,Italy,Lombardia,Tremosine sul Garda,45.77149,10.75778,3,True,0
"Italia, Gardone Riviera, Ortsteilansicht",Blick auf einen Teil von Gardone von Lago di Garda aus,1906,,,Italy,Lombardia,Gardone Riviera,45.62396,10.56682,3,True,0
