Titel,Beschreibung,Breitengrad,Längengrad,Exakte Koordinaten,Adresse,Datei,Periode,Beschreibung.1,Quelle,Urheber:in,Referenz,Title,Description,Periode,Urheber,Technik,Country,Region,City,Lat,Lon,Coord-Quality-Score,Fallback,Ext-Calls,Deviation_km,Map
"Mulegns/Mühlen, Val da Faller, Landschaft","Mulegns/Mühlen GR. Maiensäss-Landschaft am Eingang ins Val Fallér. Sanft geneigtes Rasengelände mit weidenden Rindern (Vordergrund), im Mittelgrund eine Waldzone: Allmendgelände 'Plaz'.",46.5240626,9.6209895,Nein,Mulegns,lcmt-nabi-pctmp_ead_zing_11607_pctmp.jpg,circa 1910,,helveticarchives.ch,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162343576,"Mulegns/Mühlen, Val da Faller, Landschaft","Mulegns/Mühlen GR. Maiensäss-Landschaft am Eingang ins Val Fallér. Sanft geneigtes Rasengelände mit weidenden Rindern (Vordergrund), im Mittelgrund eine Waldzone: Allmendgelände 'Plaz'.",1910,Rudolf Zinggeler,,Switzerland,Kanton Graubünden,Mulegns,46.52421,9.62087,3,True,0,0.02,https://www.openstreetmap.org/?mlat=46.52421&mlon=9.62087&zoom=14
"Mulegns/Mühlen, Val da Faller, Plaz, Landschaft",Mulegns/Mühlen GR. Maiensäss-Landschaft am Eingang ins Val Fallér. (Variante zu Bild Nr. 11607): Allmendweide 'Plaz'.,46.5240626,9.6209895,Nein,Mulegns,lcmt-nabi-pctmp_ead_zing_11608_pctmp.jpg,circa 1910,,helveticarchives.ch,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162343637,"Mulegns/Mühlen, Val da Faller, Plaz, Landschaft",Mulegns/Mühlen GR. Maiensäss-Landschaft am Eingang ins Val Fallér. (Variante zu Bild Nr. 11607): Allmendweide 'Plaz'.,1910,Rudolf Zinggeler,,Switzerland,Kanton Graubünden,Mulegns,46.52421,9.62087,3,True,0,0.02,https://www.openstreetmap.org/?mlat=46.52421&mlon=9.62087&zoom=14
"Mulegns/Mühlen, Val da Faller, Plaz, Landschaft",Mulegns/Mühlen GR. Maiensäss-Landschaft am Eingang ins Val Fallér. (vgl. Bilder Nr. 11607/08): Allmendweide 'Plaz'.,46.5240626,9.6209895,Nein,Mulegns,lcmt-nabi-pctmp_ead_zing_11609_pctmp.jpg,circa 1910,,helveticarchives.ch,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162343818,"Mulegns/Mühlen, Val da Faller, Plaz, Landschaft",Mulegns/Mühlen GR. Maiensäss-Landschaft am Eingang ins Val Fallér. (vgl. Bilder Nr. 11607/08): Allmendweide 'Plaz'.,1910,Rudolf Zinggeler,,Switzerland,Kanton Graubünden,Mulegns,46.52421,9.62087,3,True,0,0.02,https://www.openstreetmap.org/?mlat=46.52421&mlon=9.62087&zoom=14
"Mulegns/Mühlen, Tgarnet, Landschaft",Mulegns/Mühlen GR. Landschaft des Oberhalbsteins. Blick von einem hochgelegenen Punkt der linken Talseite aus (Tgernet?) ins Tal hinunter.,46.5240626,9.6209895,Nein,Mulegns,lcmt-nabi-pctmp_ead_zing_11610_pctmp.jpg,circa 1910,,helveticarchives.ch,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162343867,"Mulegns/Mühlen, Tgarnet, Landschaft",Mulegns/Mühlen GR. Landschaft des Oberhalbsteins. Blick von einem hochgelegenen Punkt der linken Talseite aus (Tgernet?) ins Tal hinunter.,1910,Rudolf Zinggeler,,Switzerland,Kanton Graubünden,Mulegns,46.52421,9.62087,3,True,0,0.02,https://www.openstreetmap.org/?mlat=46.52421&mlon=9.62087&zoom=14
"Mulegns, Landschaft",Mulegns/Mühlen GR. Landschaftsmotiv mit Tannen und Feriengästen,46.5240626,9.6209895,Nein,Mulegns,lcmt-nabi-pctmp_ead_zing_11611_pctmp.jpg,circa 1910,,helveticarchives.ch,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162343918,"Mulegns, Landschaft",Mulegns/Mühlen GR. Landschaftsmotiv mit Tannen und Feriengästen,1910,Rudolf Zinggeler,,Switzerland,Kanton Graubünden,Mulegns,46.52421,9.62087,3,True,0,0.02,https://www.openstreetmap.org/?mlat=46.52421&mlon=9.62087&zoom=14
"Mulegns/Mühlen, Landschaft",Mulegns/Mühlen GR. Landschaftsmotiv mit Tannengruppe und Fusspfad an einer Berghalde.,46.5240626,9.6209895,Nein,Mulegns,lcmt-nabi-pctmp_ead_zing_11612_pctmp.jpg,circa 1910,,helveticarchives.ch,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162343968,"Mulegns/Mühlen, Landschaft",Mulegns/Mühlen GR. Landschaftsmotiv mit Tannengruppe und Fusspfad an einer Berghalde.,1910,Rudolf Zinggeler,,Switzerland,Kanton Graubünden,Mulegns,46.52421,9.62087,3,True,0,0.02,https://www.openstreetmap.org/?mlat=46.52421&mlon=9.62087&zoom=14
"Mulegns/Mühlen, Val da Faller, Landschaft",Mulegns/Mühlen GR. Landschaftsmotiv mit Weg und Waldpartien an einem Berghang am Eingang ins Val Fallér.,46.5240626,9.6209895,Nein,Mulegns,lcmt-nabi-pctmp_ead_zing_11613_pctmp.jpg,circa 1910,,helveticarchives.ch,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162344007,"Mulegns/Mühlen, Val da Faller, Landschaft",Mulegns/Mühlen GR. Landschaftsmotiv mit Weg und Waldpartien an einem Berghang am Eingang ins Val Fallér.,1910,Rudolf Zinggeler,,Switzerland,Kanton Graubünden,Mulegns,46.5160942,9.6013214,4,False,1,1.75,https://www.openstreetmap.org/?mlat=46.5160942&mlon=9.6013214&zoom=14
"Mulegns/Mühlen, Val da Faller mit Piz Platta, Landschaft",Mulegns/Mühlen GR. Landschaftsmotiv mit Weg an steiniger und dünn bewaldeter Berghalde am Eingang ins Val Fallér. Hinten der Piz Platta.,46.5240626,9.6209895,Nein,Mulegns,lcmt-nabi-pctmp_ead_zing_11614_pctmp.jpg,circa 1910,,helveticarchives.ch,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162344055,"Mulegns/Mühlen, Val da Faller mit Piz Platta, Landschaft",Mulegns/Mühlen GR. Landschaftsmotiv mit Weg an steiniger und dünn bewaldeter Berghalde am Eingang ins Val Fallér. Hinten der Piz Platta.,1910,Rudolf Zinggeler,,Switzerland,Kanton Graubünden,Mulegns,46.5160942,9.6013214,4,False,1,1.75,https://www.openstreetmap.org/?mlat=46.5160942&mlon=9.6013214&zoom=14
"Mulegns/Mühlen, Val da Faller, Landschaft",Mulegns/Mühlen GR. Landschaftsmotiv mit Alpweg und vereinzelten Tannen hoch über dem Tal am Eingang ins Val Fallér.,46.5240626,9.6209895,Nein,Mulegns,lcmt-nabi-pctmp_ead_zing_11615_pctmp.jpg,circa 1910,,helveticarchives.ch,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162344109,"Mulegns/Mühlen, Val da Faller, Landschaft",Mulegns/Mühlen GR. Landschaftsmotiv mit Alpweg und vereinzelten Tannen hoch über dem Tal am Eingang ins Val Fallér.,1910,Rudolf Zinggeler,,Switzerland,Kanton Graubünden,Mulegns,46.5160942,9.6013214,4,False,1,1.75,https://www.openstreetmap.org/?mlat=46.5160942&mlon=9.6013214&zoom=14
"Tinizong, Bergstrasse, Teilansicht",Tinizong/Tinzen GR. Landschaftsmotiv. Berghang mit Alpweg ins Val d'Err. Steinblöcke und Waldpartien. Bllick gegen NW,46.5827846,9.6171465,Nein,Tinizong,lcmt-nabi-pctmp_ead_zing_11616_pctmp.jpg,circa 1910,,helveticarchives.ch,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162344156,"Tinizong, Bergstrasse, Teilansicht",Tinizong/Tinzen GR. Landschaftsmotiv. Berghang mit Alpweg ins Val d'Err. Steinblöcke und Waldpartien. Bllick gegen NW,1910,Rudolf Zinggeler,,Switzerland,Kanton Graubünden,Tinizong,46.58241,9.61732,3,True,0,0.04,https://www.openstreetmap.org/?mlat=46.58241&mlon=9.61732&zoom=14
"Mulegns/Mühlen, Val da Faller, Landschaft",Mulegns/Mühlen GR. Landschaft am Eingang ins Val Fallér. Breites Bachbett mit Bergbach. Alte Holzbrücke darüber. Alpweg und (Mittelgrund) eine Waldzone. Blick talauswärts.,46.5240626,9.6209895,Nein,Mulegns,lcmt-nabi-pctmp_ead_zing_11617_pctmp.jpg,circa 1910,,helveticarchives.ch,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162344197,"Mulegns/Mühlen, Val da Faller, Landschaft",Mulegns/Mühlen GR. Landschaft am Eingang ins Val Fallér. Breites Bachbett mit Bergbach. Alte Holzbrücke darüber. Alpweg und (Mittelgrund) eine Waldzone. Blick talauswärts.,1910,Rudolf Zinggeler,,Switzerland,Kanton Graubünden,Mulegns,46.5160942,9.6013214,4,False,1,1.75,https://www.openstreetmap.org/?mlat=46.5160942&mlon=9.6013214&zoom=14
"Mulegns/Mühlen,Val da Faller, Landschaft",Mulegns/Mühlen GR. Landschaftsmotiv mit bewaldeten Steilhängen am Eingang ins Val Fallér.,46.5240626,9.6209895,Nein,Mulegns,lcmt-nabi-pctmp_ead_zing_11618_pctmp.jpg,circa 1910,,helveticarchives.ch,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162344248,"Mulegns/Mühlen, Val da Faller, Landschaft",Mulegns/Mühlen GR. Landschaftsmotiv mit bewaldeten Steilhängen am Eingang ins Val Fallér.,1910,Rudolf Zinggeler,,Switzerland,Kanton Graubünden,Mulegns,46.5160942,9.6013214,4,False,1,1.75,https://www.openstreetmap.org/?mlat=46.5160942&mlon=9.6013214&zoom=14
"Mulegns/Mühlen, Plaz und Piz Forbesch, Landschaft",Mulegns/Mühlen GR. Landschaftsmotiv. Alpgelände mit Steinblöcken. Weisses Pferd auf der Weide. Hinten der Piz Forbesch.,46.5240626,9.6209895,Nein,Mulegns,lcmt-nabi-pctmp_ead_zing_11619_pctmp.jpg,circa 1910,,helveticarchives.ch,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162344299,"Mulegns/Mühlen, Plaz und Piz Forbesch, Landschaft",Mulegns/Mühlen GR. Landschaftsmotiv. Alpgelände mit Steinblöcken. Weisses Pferd auf der Weide. Hinten der Piz Forbesch.,1910,Rudolf Zinggeler,,Switzerland,Kanton Graubünden,Mulegns,46.52421,9.62087,3,True,0,0.02,https://www.openstreetmap.org/?mlat=46.52421&mlon=9.62087&zoom=14
"Mulegns/Mühlen, Plaz, Landschaft","Mulegns/Mühlen GR. Landschaft. Alpgelände mit weidenden Pferden am Eingang ins Val Fallér, Weidegelände 'Plaz'. Im Mittelgrund eine Waldzone. Blick talauswärts und gegen ferne Oberhalbsteiner Berge.",46.5240626,9.6209895,Nein,Mulegns,lcmt-nabi-pctmp_ead_zing_11620_pctmp.jpg,circa 1910,,helveticarchives.ch,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162344342,"Mulegns/Mühlen, Plaz, Landschaft","Mulegns/Mühlen GR. Landschaft. Alpgelände mit weidenden Pferden am Eingang ins Val Fallér, Weidegelände 'Plaz'. Im Mittelgrund eine Waldzone. Blick talauswärts und gegen ferne Oberhalbsteiner Berge.",1910,Rudolf Zinggeler,,Switzerland,Kanton Graubünden,Mulegns,46.52421,9.62087,3,True,0,0.02,https://www.openstreetmap.org/?mlat=46.52421&mlon=9.62087&zoom=14
"Mulegns/Mühlen, Plaz, Landschaft","Mulegns/Mühlen GR. Landschaft und Tier. Weisses Pferd (Vordergrund) auf einem Alpgelände weidend, am Eingang ins Val Fallér.",46.5240626,9.6209895,Nein,Mulegns,lcmt-nabi-pctmp_ead_zing_11621_pctmp.jpg,circa 1910,,helveticarchives.ch,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162344383,"Mulegns/Mühlen, Plaz, Landschaft","Mulegns/Mühlen GR. Landschaft und Tier. Weisses Pferd (Vordergrund) auf einem Alpgelände weidend, am Eingang ins Val Fallér.",1910,Rudolf Zinggeler,,Switzerland,Kanton Graubünden,Mulegns,46.52421,9.62087,3,True,0,0.02,https://www.openstreetmap.org/?mlat=46.52421&mlon=9.62087&zoom=14
"Mulegns/Mühlen, Plaz, Ortsteilansicht","Mulegns/Mühlen GR. Landschaft und Tier. Weisses Pferd (Vordergrund) auf einem Alpgelände weidend, am Eingang ins Val Fallér.",46.5240626,9.6209895,Nein,Mulegns,lcmt-nabi-pctmp_ead_zing_11622_pctmp.jpg,circa 1910,,helveticarchives.ch,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162344417,"Mulegns/Mühlen, Plaz, Ortsteilansicht","Mulegns/Mühlen GR. Landschaft und Tier. Weisses Pferd (Vordergrund) auf einem Alpgelände weidend, am Eingang ins Val Fallér.",1910,Rudolf Zinggeler,,Switzerland,Kanton Graubünden,Mulegns,46.52421,9.62087,3,True,0,0.02,https://www.openstreetmap.org/?mlat=46.52421&mlon=9.62087&zoom=14
"Mulegns, Landschaft",Mulegns/Mühlen GR. Landschaft und Mensch. Weidegelände mit Steinen und Felsblöcken übersäht. Zwei junge Hirten. Hinten eine Waldzone,46.5240626,9.6209895,Nein,Mulegns,lcmt-nabi-pctmp_ead_zing_11623_pctmp.jpg,circa 1910,,helveticarchives.ch,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162344454,"Mulegns, Landschaft",Mulegns/Mühlen GR. Landschaft und Mensch. Weidegelände mit Steinen und Felsblöcken übersäht. Zwei junge Hirten. Hinten eine Waldzone,1910,Rudolf Zinggeler,,Switzerland,Kanton Graubünden,Mulegns,46.52421,9.62087,3,True,0,0.02,https://www.openstreetmap.org/?mlat=46.52421&mlon=9.62087&zoom=14
"Mulegns/Mühlen, Val da Faller, Kapelle von Tga, Gesamtansicht und Landschaft",Mulegns/Mühlen GR. Landschaftsmotiv mit Wiesenhalde und Kapelle von Tga Fallér (Val Fallér) und dem Piz Forbisch (Hintergrund).,46.5240626,9.6209895,Nein,Mulegns,lcmt-nabi-pctmp_ead_zing_11624_pctmp.jpg,circa 1910,,helveticarchives.ch,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162344496,"Mulegns/Mühlen, Val da Faller, Kapelle von Tga",Mulegns/Mühlen GR. Landschaftsmotiv mit Wiesenhalde und Kapelle von Tga Fallér (Val Fallér) und dem Piz Forbisch (Hintergrund).,1910,Rudolf Zinggeler,,Switzerland,Kanton Graubünden,Mulegns,46.52421,9.62087,3,True,0,0.02,https://www.openstreetmap.org/?mlat=46.52421&mlon=9.62087&zoom=14
"Mulegns/Mühlen, Val da Faller, Kapelle von Tga, Teilansicht und Landschaft",Mulegns/Mühlen GR. Landschaftsmotiv. Wiesengelände und Kapelle der Maiensäss-Siedlung Tga im Val Fallér. Blick gegen Südwesten nach dem Talabschluss und dem Piz Platta.,46.5240626,9.6209895,Nein,Mulegns,lcmt-nabi-pctmp_ead_zing_11625_pctmp.jpg,circa 1910,,helveticarchives.ch,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162344546,"Mulegns/Mühlen, Val da Faller, Kapelle von Tga",Mulegns/Mühlen GR. Landschaftsmotiv. Wiesengelände und Kapelle der Maiensäss-Siedlung Tga im Val Fallér. Blick gegen Südwesten nach dem Talabschluss und dem Piz Platta.,1910,Rudolf Zinggeler,,Switzerland,Kanton Graubünden,Mulegns,46.52421,9.62087,3,True,0,0.02,https://www.openstreetmap.org/?mlat=46.52421&mlon=9.62087&zoom=14
"Mulegns/Mühlen, Val da Faller, Kapelle von Tga, Teilansicht",Mulegns/Mühlen GR. Landschaftsmotiv mit Alpweg und Kapelle und Steilhang bei der Maiensäss-Siedlung Tga in Val Fallér.,46.5240626,9.6209895,Nein,Mulegns,lcmt-nabi-pctmp_ead_zing_11626_pctmp.jpg,circa 1910,,helveticarchives.ch,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162344588,"Mulegns/Mühlen, Val da Faller, Kapelle von Tga",Mulegns/Mühlen GR. Landschaftsmotiv mit Alpweg und Kapelle und Steilhang bei der Maiensäss-Siedlung Tga in Val Fallér.,1910,Rudolf Zinggeler,,Switzerland,Kanton Graubünden,Mulegns,46.52421,9.62087,3,True,0,0.02,https://www.openstreetmap.org/?mlat=46.52421&mlon=9.62087&zoom=14
"Bivio, Landschaft",Bivio GR. Landschaft und Militär. Alpgelände bei Bivio mit Soldaten und Saumpferden auf Lagerplatz: zu Beginn des I. Weltkrieges,46.4687474,9.6496931,Nein,Bivio,lcmt-nabi-pctmp_ead_zing_11627_pctmp.jpg,1914,,helveticarchives.ch,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162344631,"Bivio, Landschaft",Bivio GR. Landschaft und Militär. Alpgelände bei Bivio mit Soldaten und Saumpferden auf Lagerplatz: zu Beginn des I. Weltkrieges,1914,Rudolf Zinggeler,,Switzerland,Kanton Graubünden,Bivio,46.46852,9.65088,3,True,0,0.09,https://www.openstreetmap.org/?mlat=46.46852&mlon=9.65088&zoom=14
"Bivio, Ortsteilansicht","Bivio GR. Landschaft, Siedlung, Militär. Dorf und nächste Umgebung von Bivio. Im Vordergrund ebenes Feld, von einer Militärabteilung als Lagerplatz benützt: im I. Weltkrieg",46.4687474,9.6496931,Nein,Bivio,lcmt-nabi-pctmp_ead_zing_11628_pctmp.jpg,1914,,helveticarchives.ch,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162344691,"Bivio, Ortsteilansicht","Bivio GR. Landschaft, Siedlung, Militär. Dorf und nächste Umgebung von Bivio. Im Vordergrund ebenes Feld, von einer Militärabteilung als Lagerplatz benützt: im I. Weltkrieg",1914,Rudolf Zinggeler,,Switzerland,Kanton Graubünden,Bivio,46.46852,9.65088,3,True,0,0.09,https://www.openstreetmap.org/?mlat=46.46852&mlon=9.65088&zoom=14
"Porträt, Männliche Person, Bivio",Bivio GR. Militär. Zugpferde und ein Versuchspony und Soldaten auf einem Lagerplatz bei Bivio. Zu Beginn des I. Weltkrieges,46.4687474,9.6496931,Nein,Bivio,lcmt-nabi-pctmp_ead_zing_11629_pctmp.jpg,1914,,helveticarchives.ch,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162344740,"Porträt, Männliche Person, Bivio",Bivio GR. Militär. Zugpferde und ein Versuchspony und Soldaten auf einem Lagerplatz bei Bivio. Zu Beginn des I. Weltkrieges,1914,Rudolf Zinggeler,,Switzerland,Kanton Graubünden,Bivio,46.46852,9.65088,3,True,0,0.09,https://www.openstreetmap.org/?mlat=46.46852&mlon=9.65088&zoom=14
"Bivio, Ortsteilansicht","Bivio GR. Dorfbild, Militär. Eine Gruppe Soldaten mit Saumpferden mitten im Dorf Bivio, bereit zum Start",46.4687474,9.6496931,Nein,Bivio,lcmt-nabi-pctmp_ead_zing_11630_pctmp.jpg,1914,,helveticarchives.ch,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162344791,"Bivio, Ortsteilansicht","Bivio GR. Dorfbild, Militär. Eine Gruppe Soldaten mit Saumpferden mitten im Dorf Bivio, bereit zum Start",1914,Rudolf Zinggeler,,Switzerland,Kanton Graubünden,Bivio,46.46852,9.65088,3,True,0,0.09,https://www.openstreetmap.org/?mlat=46.46852&mlon=9.65088&zoom=14
"Bivio, Landschaft","Bivio GR. Landschaft, Militär. Alpines Wiesen- und Weidegelände. Im Vordergrund eine Gruppe Soldaten mit Zelt, ein Offizier, in der Nähe des Dorfes Bivio",46.4687474,9.6496931,Nein,Bivio,lcmt-nabi-pctmp_ead_zing_11631_pctmp.jpg,1914,,helveticarchives.ch,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162344832,"Bivio, Landschaft","Bivio GR. Landschaft, Militär. Alpines Wiesen- und Weidegelände. Im Vordergrund eine Gruppe Soldaten mit Zelt, ein Offizier, in der Nähe des Dorfes Bivio",1914,Rudolf Zinggeler,,Switzerland,Kanton Graubünden,Bivio,46.46852,9.65088,3,True,0,0.09,https://www.openstreetmap.org/?mlat=46.46852&mlon=9.65088&zoom=14
"Bivio, Ortsteilansicht","Bivio GR. Landschaft, Siedlung, Militär. Das Dorf Bivio (Mittelgrund) mit einem Teil seiner landschaftlichen Umgebung. Im Vordergrund ein ebenes Gelände, von einer Abteilung Militär mit Pferden und Fahrzeugen belegt",46.4687474,9.6496931,Nein,Bivio,lcmt-nabi-pctmp_ead_zing_11632_pctmp.jpg,1914,,helveticarchives.ch,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162344867,"Bivio, Ortsteilansicht","Bivio GR. Landschaft, Siedlung, Militär. Das Dorf Bivio (Mittelgrund) mit einem Teil seiner landschaftlichen Umgebung. Im Vordergrund ein ebenes Gelände, von einer Abteilung Militär mit Pferden und Fahrzeugen belegt",1914,Rudolf Zinggeler,,Switzerland,Kanton Graubünden,Bivio,46.46852,9.65088,3,True,0,0.09,https://www.openstreetmap.org/?mlat=46.46852&mlon=9.65088&zoom=14
"Bivio, Landschaft",Bivio GR. Mensch und Arbeit. Drei Bauern beim Holzsägen,46.4687474,9.6496931,Nein,Bivio,lcmt-nabi-pctmp_ead_zing_11633_pctmp.jpg,circa 1914,,helveticarchives.ch,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162344927,"Bivio, Landschaft",Bivio GR. Mensch und Arbeit. Drei Bauern beim Holzsägen,1914,Rudolf Zinggeler,,Switzerland,Kanton Graubünden,Bivio,46.46852,9.65088,3,True,0,0.09,https://www.openstreetmap.org/?mlat=46.46852&mlon=9.65088&zoom=14
"Bivio, Landschaft",Bivio GR. Mensch und Arbeit. Holzsägerszene,46.4687474,9.6496931,Nein,Bivio,lcmt-nabi-pctmp_ead_zing_11634_pctmp.jpg,circa 1914,,helveticarchives.ch,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162345002,"Bivio, Landschaft",Bivio GR. Mensch und Arbeit. Holzsägerszene,1914,Rudolf Zinggeler,,Switzerland,Kanton Graubünden,Bivio,46.46852,9.65088,3,True,0,0.09,https://www.openstreetmap.org/?mlat=46.46852&mlon=9.65088&zoom=14
"Mulegns/Mühlen, Julia, Ortsteilansicht und Landschaft",Mulegns/Mühlen GR. Landschaftsmotiv mit der Julia (Talfuss des Oberhalbsteins) unterhalb Mühlen.,46.5240626,9.6209895,Nein,Mulegns,lcmt-nabi-pctmp_ead_zing_11635_pctmp.jpg,circa 1910,,helveticarchives.ch,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162345057,"Mulegns/Mühlen, Julia, Ortsteilansicht und Landschaft",Mulegns/Mühlen GR. Landschaftsmotiv mit der Julia (Talfuss des Oberhalbsteins) unterhalb Mühlen.,1910,Rudolf Zinggeler,,Switzerland,Kanton Graubünden,Mulegns,46.59853,9.58987,5,False,0,8.62,https://www.openstreetmap.org/?mlat=46.59853&mlon=9.58987&zoom=14
"Mulegns/Mühlen, Landschaft",Mulegns/Mühlen GR. Landschaft. Die Talsohle mit der Talstrasse wenig unterhalb dem Dorfe Mühlen. Weidende Schafe. Waldpartie.,46.5240626,9.6209895,Nein,Mulegns,lcmt-nabi-pctmp_ead_zing_11636_pctmp.jpg,circa 1910,,helveticarchives.ch,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162345105,"Mulegns/Mühlen, Landschaft",Mulegns/Mühlen GR. Landschaft. Die Talsohle mit der Talstrasse wenig unterhalb dem Dorfe Mühlen. Weidende Schafe. Waldpartie.,1910,Rudolf Zinggeler,,Switzerland,Kanton Graubünden,Mulegns,46.52421,9.62087,3,True,0,0.02,https://www.openstreetmap.org/?mlat=46.52421&mlon=9.62087&zoom=14
"Mulegns, Landschaft","Mulegns/Mühlen GR. Landschaftsmotiv in der Umgebung von Mühlen. Steiniger, von Rasenflächen und einzelnen Tannen durchsetzter Berghang der linken Talseite des Oberhalbsteins. Weidende Schafe",46.5240626,9.6209895,Nein,Mulegns,lcmt-nabi-pctmp_ead_zing_11637_pctmp.jpg,circa 1914,,helveticarchives.ch,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162345149,"Mulegns, Landschaft","Mulegns/Mühlen GR. Landschaftsmotiv in der Umgebung von Mühlen. Steiniger, von Rasenflächen und einzelnen Tannen durchsetzter Berghang der linken Talseite des Oberhalbsteins. Weidende Schafe",1914,Rudolf Zinggeler,,Switzerland,Kanton Graubünden,Mulegns,46.52421,9.62087,3,True,0,0.02,https://www.openstreetmap.org/?mlat=46.52421&mlon=9.62087&zoom=14
"Mulegns, Landschaft","Mulegns/Mühlen GR. Landschaftsmotiv mit steiniger Halde, Weideplatz und weidenden Schafen neben der Talstrasse unterhalb Mühlen",46.5240626,9.6209895,Nein,Mulegns,lcmt-nabi-pctmp_ead_zing_11638_pctmp.jpg,circa 1910,,helveticarchives.ch,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162345192,"Mulegns, Landschaft","Mulegns/Mühlen GR. Landschaftsmotiv mit steiniger Halde, Weideplatz und weidenden Schafen neben der Talstrasse unterhalb Mühlen",1910,Rudolf Zinggeler,,Switzerland,Kanton Graubünden,Mulegns,46.52421,9.62087,3,True,0,0.02,https://www.openstreetmap.org/?mlat=46.52421&mlon=9.62087&zoom=14
"Mulegns, Landschaft","Mulegns/Mühlen GR. Landschaftsmotiv mit ebenem Weidegelände, Schafherde, Steinblock mit Heiligenhäuschen unterhalb Mühlen",46.5240626,9.6209895,Nein,Mulegns,lcmt-nabi-pctmp_ead_zing_11639_pctmp.jpg,circa 1910,,helveticarchives.ch,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162345239,"Mulegns, Landschaft","Mulegns/Mühlen GR. Landschaftsmotiv mit ebenem Weidegelände, Schafherde, Steinblock mit Heiligenhäuschen unterhalb Mühlen",1910,Rudolf Zinggeler,,Switzerland,Kanton Graubünden,Mulegns,46.52421,9.62087,3,True,0,0.02,https://www.openstreetmap.org/?mlat=46.52421&mlon=9.62087&zoom=14
"Mulegns, Landschaft","Mulegns/Mühlen GR. Landschaftsmotiv mit ebenem Weidegelände, Schafherde, Steinblock mit Heiligenhäuschen unterhalb Mühlen",46.5240626,9.6209895,Nein,Mulegns,lcmt-nabi-pctmp_ead_zing_11640_pctmp.jpg,circa 1910,,helveticarchives.ch,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162345286,"Mulegns, Landschaft","Mulegns/Mühlen GR. Landschaftsmotiv mit ebenem Weidegelände, Schafherde, Steinblock mit Heiligenhäuschen unterhalb Mühlen",1910,Rudolf Zinggeler,,Switzerland,Kanton Graubünden,Mulegns,46.52421,9.62087,3,True,0,0.02,https://www.openstreetmap.org/?mlat=46.52421&mlon=9.62087&zoom=14
"Mulegns/Mühlen, Julia, Ortsteilansicht und Landschaft",Mulegns/Mühlen GR. Landschaftsbild des mittleren Oberhalbsteins: die Julia zwischen bewaldeten Talhängen unterhalb Mühlen.,46.5240626,9.6209895,Nein,Mulegns,lcmt-nabi-pctmp_ead_zing_11641_pctmp.jpg,circa 1910,,helveticarchives.ch,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162345333,"Mulegns/Mühlen, Julia, Ortsteilansicht und Landschaft",Mulegns/Mühlen GR. Landschaftsbild des mittleren Oberhalbsteins: die Julia zwischen bewaldeten Talhängen unterhalb Mühlen.,1910,Rudolf Zinggeler,,Switzerland,Kanton Graubünden,Mulegns,46.59853,9.58987,5,False,0,8.62,https://www.openstreetmap.org/?mlat=46.59853&mlon=9.58987&zoom=14
